# time,pos_x,pos_y,vel_x,vel_y,mre_x,mre_y,gol_x,gol_y,atr_x,atr_y,fin_x,fin_y,tile
0.720000,0.369845,-0.378109,-1.554115,1.481977,-0.000000,0.000000,4.490584,-4.199919,-24.688965,25.495139,6.378882,-7.552394,13.805136
0.740000,0.337569,-0.347277,-1.554655,1.483112,0.000000,0.000000,4.076627,-3.828313,0.000000,0.000000,6.983766,-7.016655,13.815442
0.760000,0.308447,-0.319523,-1.368211,1.303209,0.000000,0.000000,3.737081,-3.517303,0.000000,0.000000,4.100809,-4.025762,13.184814
0.780000,0.282539,-0.294862,-1.226062,1.166593,-0.000000,-0.000000,3.457537,-3.262463,0.000000,0.000000,3.260196,-3.111829,12.891929
0.800000,0.259299,-0.272740,-1.102663,1.050169,-0.000000,0.000000,3.226759,-3.046086,0.000000,0.000000,2.220579,-1.941975,12.617329
0.820000,0.238254,-0.252646,-1.004924,0.961595,-0.000000,0.000000,3.027162,-2.861766,0.000000,0.000000,1.473459,-1.395684,12.354120
0.840000,0.219015,-0.234259,-0.921141,0.879086,-0.000000,0.000000,2.857387,-2.702937,0.000000,0.000000,1.048394,-1.005376,12.246857
0.860000,0.201373,-0.217366,-0.843004,0.811745,0.000000,-0.000000,2.708772,-2.563912,0.000000,0.000000,1.166542,-0.696441,12.105120
0.880000,0.185231,-0.201792,-0.774019,0.746747,-0.000000,0.000000,2.577957,-2.443453,0.000000,0.000000,0.525562,-0.468416,11.956897
0.900000,0.170370,-0.187393,-0.712571,0.694214,-0.000000,0.000000,2.463569,-2.336489,0.000000,0.000000,0.512454,-0.274357,11.917789
0.920000,0.156700,-0.174042,-0.655418,0.641538,-0.000000,0.000000,2.360836,-2.242514,0.000000,0.000000,0.315032,-0.189231,11.802811
0.940000,0.144093,-0.161680,-0.606250,0.595152,-0.000000,-0.000000,2.270201,-2.158489,0.000000,0.000000,0.181604,-0.087891,11.732353
0.960000,0.132495,-0.150227,-0.552898,0.549965,-0.000000,-0.000000,2.189221,-2.084122,0.000000,0.000000,0.398574,-0.125631,11.764760
0.980000,0.121905,-0.139641,-0.507047,0.509712,0.000000,-0.000000,2.116629,-2.017955,0.000000,0.000000,0.115582,0.157956,11.596523
1.000000,0.112202,-0.129826,-0.463713,0.471226,0.000000,-0.000000,2.051915,-1.959192,0.000000,0.000000,0.087964,-0.046982,11.666266
1.020000,0.103344,-0.120795,-0.423110,0.432534,0.000000,0.000000,1.994069,-1.906713,0.000000,0.000000,-0.100187,0.089452,11.554662
1.040000,0.095274,-0.112508,-0.383162,0.396220,0.000000,0.000000,1.942158,-1.860039,0.000000,0.000000,0.092274,0.075232,11.538424
1.060000,0.087996,-0.104924,-0.344467,0.362863,-0.000000,0.000000,1.896415,-1.818894,0.000000,0.000000,0.203388,0.224846,11.551513
1.080000,0.081516,-0.098005,-0.304974,0.328153,0.000000,0.000000,1.855383,-1.782703,0.000000,0.000000,-0.126595,0.013404,11.484000
1.100000,0.075769,-0.091775,-0.269257,0.295192,-0.000000,-0.000000,1.819327,-1.751212,0.000000,0.000000,-0.037136,0.060377,11.457716
1.120000,0.070719,-0.086210,-0.235692,0.262108,0.000000,0.000000,1.788012,-1.723786,0.000000,0.000000,0.035637,0.191615,11.483174
1.140000,0.066386,-0.081288,-0.198327,0.229403,-0.000000,-0.000000,1.760500,-1.700603,0.000000,0.000000,-0.088688,0.059174,11.398884
1.160000,0.062763,-0.077016,-0.163039,0.197757,0.000000,0.000000,1.737457,-1.681224,0.000000,0.000000,0.093363,0.057216,11.425635
1.180000,0.059845,-0.073382,-0.129497,0.165920,0.000000,0.000000,1.718054,-1.665643,0.000000,0.000000,-0.066498,0.092504,11.454323
1.200000,0.057587,-0.070378,-0.096627,0.134576,0.000000,-0.000000,1.702224,-1.653740,0.000000,0.000000,-0.122008,0.095263,11.356720
1.220000,0.055983,-0.068007,-0.062756,0.102186,0.000000,-0.000000,1.690285,-1.644789,0.000000,0.000000,0.171427,-0.012688,11.467179
1.240000,0.055096,-0.066289,-0.026585,0.069745,0.000000,0.000000,1.681638,-1.639986,0.000000,0.000000,0.054430,0.025700,11.383896
1.260000,0.054907,-0.065215,0.007263,0.037767,0.000000,0.000000,1.676649,-1.638323,0.000000,0.000000,-0.043569,0.054614,11.352485
1.280000,0.055367,-0.064782,0.038143,0.005308,0.000000,0.000000,1.675308,-1.640112,0.000000,0.000000,-0.179275,0.023424,11.490571
1.300000,0.056445,-0.065002,0.070626,-0.027651,0.000000,-0.000000,1.676914,-1.645107,0.000000,0.000000,0.083718,-0.043459,11.315028
1.320000,0.058210,-0.065890,0.105728,-0.061152,-0.000000,0.000000,1.682584,-1.653670,0.000000,0.000000,0.086798,-0.059116,11.460734
1.340000,0.060696,-0.067452,0.142580,-0.094879,0.000000,-0.000000,1.691605,-1.665841,0.000000,0.000000,0.024229,-0.015317,11.371126
1.360000,0.063877,-0.069685,0.175647,-0.128537,0.000000,-0.000000,1.704213,-1.682154,0.000000,0.000000,0.023280,-0.020436,11.411302
1.380000,0.067719,-0.072605,0.207127,-0.163900,-0.000000,0.000000,1.721042,-1.701584,0.000000,0.000000,-0.240923,-0.104729,11.449788
1.400000,0.072200,-0.076238,0.242501,-0.198959,-0.000000,-0.000000,1.741223,-1.725333,0.000000,0.000000,0.158656,0.025274,11.466298
1.420000,0.077427,-0.080573,0.280378,-0.234927,0.000000,0.000000,1.766106,-1.753070,0.000000,0.000000,0.177633,-0.070322,11.451019
1.440000,0.083405,-0.085624,0.315700,-0.269669,0.000000,0.000000,1.794941,-1.785610,0.000000,0.000000,-0.275048,0.093836,11.534310
