[Name]
Series 1 at /POINT:Point 1

[Data]
Time [ s ],Velocity v [ m s^-1 ]	
0	0.058283285
1E-04	0.058812259
0.0002	0.058929293
0.0003	0.059178818
0.00035	0.059380324
0.0004	0.059563398
0.0005	0.059876696
0.0006	0.060064256
0.0007	0.060287624
0.0008	0.060652919
0.0009	0.061062292
0.001	0.061382699
0.0011	0.061646639
0.0012	0.061960744
0.0013	0.062292174
0.0014	0.062489815
0.0015	0.062537429
0.0016	0.062626125
0.0017	0.062894327
0.0018	0.063183686
0.0019	0.06320877
0.002	0.062939347
0.0021	0.062652667
0.0022	0.062575256
0.0023	0.062603022
0.0024	0.062489325
0.0025	0.062236654
0.0026	0.062133939
0.0027	0.062390851
0.0028	0.062863816
0.0029	0.063252932
0.003	0.06343245
0.0031	0.063488443
0.0032	0.063489626
0.0033	0.063394167
0.0034	0.063218759
0.0035	0.063147307
0.0036	0.063352923
0.0037	0.063755868
0.0038	0.06412594
0.0039	0.064381505
0.004	0.064670243
0.0041	0.065091252
0.0042	0.065445938
0.0043	0.065398176
0.0044	0.064846145
0.0045	0.064020814
0.0046	0.06322196
0.0047	0.062616673
0.0048	0.062307028
0.0049	0.062463983
0.005	0.06320885
0.0051	0.064341495
0.0052	0.065370976
0.0053	0.065889463
0.0054	0.06591418
0.0055	0.065740356
0.0056	0.065575671
0.0057	0.065436346
0.0058	0.065340084
0.0059	0.06540779
0.006	0.065705464
0.0061	0.06608675
0.0062	0.066358834
0.0063	0.066530183
0.0064	0.066718178
0.0065	0.066821552
0.0066	0.066482975
0.0067	0.065543643
0.0068	0.064456222
0.0069	0.064000126
0.007	0.064538215
0.0071	0.065598859
0.0072	0.066315807
0.0073	0.066298431
0.0074	0.065906954
0.0075	0.065696151
0.0076	0.065865228
0.0077	0.066184731
0.0078	0.066359438
0.0079	0.066291576
0.008	0.066037486
0.0081	0.065684764
0.0082	0.065348853
0.0083	0.06518125
0.0084	0.065278052
0.0085	0.065556428
0.0086	0.065845546
0.0087	0.066120877
0.0088	0.066501581
0.0089	0.067030141
0.009	0.067477333
0.0091	0.06751244
0.0092	0.067056053
0.0093	0.066334282
0.0094	0.065688058
0.0095	0.065284201
0.0096	0.065137201
0.0097	0.06524003
0.0098	0.065577758
0.0099	0.065971913
0.01	0.066063153
0.0101	0.065644086
0.0102	0.064902962
0.0103	0.064246817
0.0104	0.063925317
0.0105	0.063891093
0.0106	0.063983379
0.010700001	0.064145851
0.0108	0.064417195
0.0109	0.064765938
0.011	0.065018559
0.0111	0.065028641
0.0112	0.064838411
0.0113	0.064669913
0.0114	0.064749102
0.0115	0.06514901
0.0116	0.06574773
0.0117	0.066297519
0.0118	0.066574033
0.0119	0.066530517
0.012	0.066394034
0.0121	0.066523577
0.0122	0.066985569
0.0123	0.067440258
0.0124	0.067417024
0.0125	0.066857795
0.0126	0.066301126
0.0127	0.066365169
0.0128	0.067207598
0.0129	0.068366898
0.013	0.069175119
0.0131	0.069343208
0.0132	0.068995331
0.0133	0.068344783
0.0134	0.067565308
0.0135	0.066854796
0.0136	0.066506911
0.0137	0.066776207
0.0138	0.067595156
0.0139	0.068459801
0.014	0.068820332
0.0141	0.068527743
0.0142	0.067905008
0.0143	0.067378187
0.0144	0.067049752
0.0145	0.066697081
0.0146	0.066098602
0.0147	0.065317889
0.0148	0.064706532
0.0149	0.064586627
0.015	0.064956399
0.0151	0.065488833
0.0152	0.065787289
0.0153	0.065652529
0.0154	0.065296057
0.0155	0.065183974
0.0156	0.065616763
0.015699999	0.066416529
0.015799999	0.067171017
0.015900001	0.067706141
0.016000001	0.068342751
0.016100001	0.069520086
0.0162	0.071215102
0.0163	0.072777465
0.0164	0.073408115
0.0165	0.072874237
0.0166	0.07152233
0.0167	0.06975479
0.016799999	0.067809152
0.016899999	0.065936735
0.017000001	0.064576346
0.017100001	0.064128339
0.017200001	0.064557509
0.0173	0.065443175
0.0174	0.066447683
0.0175	0.067499292
0.0176	0.068601817
0.0177	0.069458594
0.0178	0.069635274
0.017899999	0.069004792
0.017999999	0.068010738
0.018100001	0.067284456
0.018200001	0.067068885
0.018300001	0.067134478
0.0184	0.067133469
0.0185	0.06694944
0.0186	0.066636307
0.0187	0.066252723
0.0188	0.06589944
0.0189	0.065737754
0.018999999	0.065854834
0.019099999	0.066079165
0.019200001	0.066082413
0.019300001	0.065802769
0.019400001	0.065640466
0.0195	0.066058321
0.0196	0.06706219
0.0197	0.068124397
0.0198	0.06869573
0.0199	0.068673244
0.02	0.068358641
0.020099999	0.067948325
0.020199999	0.067411685
0.020300001	0.066768203
0.020400001	0.066320998
0.020500001	0.066417479
0.0206	0.067079233
0.0207	0.067890558
0.0208	0.068363152
0.0209	0.068336428
0.021	0.067785073
0.0211	0.066719445
0.021199999	0.065320943
0.021299999	0.064008611
0.021400001	0.063267145
0.021500001	0.063313622
0.021600001	0.063979451
0.0217	0.064871909
0.0218	0.065711217
0.0219	0.066369093
0.022	0.066711737
0.0221	0.066575364
0.0222	0.065971318
0.022299999	0.065228234
0.022399999	0.064744308
0.022500001	0.064716002
0.022600001	0.06512622
0.022700001	0.065858272
0.0228	0.066851316
0.0229	0.067906376
0.023	0.068624524
0.0231	0.068619265
0.0232	0.067864494
0.0233	0.066710288
0.023399999	0.065547778
0.023499999	0.064642257
0.023600001	0.064216897
0.023700001	0.064536598
0.023800001	0.065747316
0.0239	0.067557038
0.024	0.069188365
0.0241	0.069813432
0.0242	0.069233532
0.0243	0.06802667
0.0244	0.066918354
0.024499999	0.066420102
0.024599999	0.066700633
0.024700001	0.067607274
0.024800001	0.068727632
0.024900001	0.069525446
0.025	0.069697463
0.0251	0.069444905
0.0252	0.069220219
0.0253	0.069199908
0.0254	0.069128625
0.0255	0.06868425
0.025599999	0.067904366
0.025699999	0.067125799
0.025800001	0.066569611
0.025900001	0.066113879
0.026000001	0.065543466
0.0261	0.064956906
0.0262	0.064680548
0.0263	0.064836456
0.0264	0.06522858
0.0265	0.065678678
0.0266	0.066268372
0.026699999	0.067139568
0.026799999	0.068119502
0.026900001	0.068759879
0.027000001	0.068748598
0.027100001	0.068245552
0.0272	0.067694919
0.0273	0.067333978
0.0274	0.06708779
0.0275	0.066870909
0.0276	0.066706081
0.0277	0.066581615
0.027799999	0.0663193
0.027899999	0.065788484
0.028000001	0.065213937
0.028100001	0.065020371
0.028200001	0.065421989
0.0283	0.066213029
0.0284	0.067107717
0.0285	0.068030737
0.0286	0.069016048
0.0287	0.069906985
0.0288	0.070366625
0.028899999	0.070240054
0.028999999	0.069717808
0.029100001	0.069155048
0.029200001	0.068733583
0.029300001	0.06836482
0.0294	0.067859878
0.0295	0.067157172
0.0296	0.066389848
0.0297	0.065780658
0.0298	0.065533756
0.0299	0.065827376
0.029999999	0.066660082
0.030099999	0.067705495
0.030200001	0.068462918
0.030300001	0.068673683
0.030400001	0.068532081
0.0305	0.068472472
0.0306	0.068665202
0.0307	0.06884812
0.0308	0.068703105
0.0309	0.068229997
0.031	0.067723196
0.031099999	0.06742025
0.031199999	0.067375252
0.031300001	0.067523493
0.031399999	0.067903964
0.031500001	0.068623662
0.031599999	0.069678482
0.0317	0.070726011
0.031800002	0.071232072
0.0319	0.070869362
0.032000002	0.06969016
0.0321	0.068037314
0.032200001	0.066399343
0.032299999	0.065143849
0.032400001	0.064374557
0.032499999	0.064041007
0.032600001	0.064156397
0.032699999	0.064904892
0.0328	0.066364003
0.032900002	0.068152349
0.033	0.069404366
0.033100002	0.06937176
0.0332	0.068134534
0.033300001	0.066628155
0.033399999	0.065885899
0.033500001	0.066259092
0.033599999	0.067338557
0.033700001	0.068428589
0.033799999	0.069076121
0.0339	0.06928224
0.034000002	0.069215502
