[Name]
Series 1 at /POINT:Point 1

[Data]
Time [ s ],Velocity v [ m s^-1 ]	
0	0.061544123
1E-04	0.062105074
0.0002	0.062222995
0.0003	0.062487988
0.00035	0.06270084
0.0004	0.06289293
0.0005	0.063220224
0.0006	0.063414602
0.0007	0.06365317
0.0008	0.064042404
0.0009	0.064473062
0.001	0.064809423
0.0011	0.065089602
0.0012	0.065422708
0.0013	0.065769585
0.0014	0.065974752
0.0015	0.066026278
0.0016	0.066125584
0.0017	0.066411396
0.0018	0.06671408
0.0019	0.066736179
0.002	0.066452445
0.0021	0.066155193
0.0022	0.066077715
0.0023	0.066107017
0.0024	0.065983837
0.0025	0.065718537
0.0026	0.065615516
0.0027	0.065889371
0.0028	0.066385162
0.0029	0.066788557
0.003	0.066973707
0.0031	0.067032115
0.0032	0.067032833
0.0033	0.066931677
0.0034	0.066749764
0.0035	0.066682169
0.0036	0.066905077
0.0037	0.067329813
0.0038	0.067712968
0.0039	0.067977243
0.004	0.068281327
0.0041	0.068723773
0.0042	0.069093285
0.0043	0.069039912
0.0044	0.068459239
0.0045	0.067595827
0.0046	0.066763866
0.0047	0.06613449
0.0048	0.065813391
0.0049	0.065987334
0.005	0.066774588
0.0051	0.06795422
0.0052	0.069012109
0.0053	0.06953734
0.0054	0.06955246
0.0055	0.069363152
0.0056	0.069180883
0.0057	0.069017983
0.0058	0.068890834
0.0059	0.068922745
0.006	0.069178421
0.0061	0.06950369
0.0062	0.069711613
0.0063	0.069829628
0.0064	0.069993621
0.0065	0.070081371
0.0066	0.069688881
0.0067	0.068632107
0.0068	0.067430835
0.0069	0.066911281
0.007	0.067419868
0.0071	0.068408984
0.0072	0.069019651
0.0073	0.068896788
0.0074	0.068476245
0.0075	0.068415964
0.0076	0.068940531
0.0077	0.069776979
0.0078	0.070573746
0.0079	0.071169641
0.008	0.071513062
0.0081	0.071538069
0.0082	0.071250518
0.0083	0.070729108
0.0084	0.070058835
0.0085	0.069257108
0.0086	0.068349502
0.0087	0.067530056
0.0088	0.067139377
0.0089	0.067339076
0.009	0.067954153
0.0091	0.068673326
0.0092	0.069267513
0.0093	0.069678271
0.0094	0.069830663
0.0095	0.069597296
0.0096	0.068974132
0.0097	0.06819649
0.0098	0.067605153
0.0099	0.067300386
0.01	0.067094077
0.0101	0.066768032
0.0102	0.066364664
0.0103	0.066142282
0.0104	0.066237216
0.0105	0.066544459
0.0106	0.066896621
0.010700001	0.067321035
0.0108	0.067946616
0.0109	0.068753498
0.011	0.069476672
0.0111	0.069874018
0.0112	0.070025505
0.0113	0.070304511
0.0114	0.07096496
0.0115	0.07188442
0.0116	0.072567427
0.0117	0.072565915
0.0118	0.071861746
0.0119	0.070851177
0.012	0.070043907
0.0121	0.069790961
0.0122	0.070144979
0.0123	0.070738546
0.0124	0.071035499
0.0125	0.070769921
0.0126	0.070163372
0.0127	0.069732959
0.0128	0.069833736
0.0129	0.070368886
0.013	0.070979825
0.0131	0.071422132
0.0132	0.071645255
0.0133	0.071604759
0.0134	0.071178061
0.0135	0.070371839
0.0136	0.069447397
0.0137	0.068794476
0.0138	0.068572433
0.0139	0.068546521
0.014	0.068430771
0.0141	0.068265302
0.0142	0.06832425
0.0143	0.068828435
0.0144	0.069594878
0.0145	0.070170186
0.0146	0.07024832
0.0147	0.069939664
0.0148	0.06963075
0.0149	0.069635781
0.015	0.069990236
0.0151	0.070534065
0.0152	0.071076914
0.0153	0.071551449
0.0154	0.072131872
0.0155	0.07305165
0.0156	0.074259562
0.015699999	0.075216576
0.015799999	0.075334542
0.015900001	0.074418243
0.016000001	0.072877136
0.016100001	0.071407303
0.0162	0.070380233
0.0163	0.069723718
0.0164	0.069245896
0.0165	0.068985501
0.0166	0.069166098
0.0167	0.069842692
0.016799999	0.07073165
0.016899999	0.071454431
0.017000001	0.071828158
0.017100001	0.071847349
0.017200001	0.07153591
0.0173	0.07088113
0.0174	0.070057162
0.0175	0.069482804
0.0176	0.06946265
0.0177	0.069796353
0.0178	0.069999031
0.017899999	0.069782799
0.017999999	0.069398185
0.018100001	0.069339755
0.018200001	0.069781073
0.018300001	0.070408125
0.0184	0.070780282
0.0185	0.070691199
0.0186	0.070214144
0.0187	0.069564854
0.0188	0.068950847
0.0189	0.068574074
0.018999999	0.06852803
0.019099999	0.068633204
0.019200001	0.068584323
0.019300001	0.068328348
0.019400001	0.06822357
0.0195	0.068695885
0.0196	0.069794515
0.0197	0.071188078
0.0198	0.072541368
0.0199	0.073750137
0.02	0.074678874
0.020099999	0.075001775
0.020199999	0.074339275
0.020300001	0.072643795
0.020400001	0.070374363
0.020500001	0.068220154
0.0206	0.066628935
0.0207	0.06571104
0.0208	0.065502287
0.0209	0.06599757
0.021	0.066937292
0.0211	0.067760167
0.021199999	0.067980298
0.021299999	0.067600015
0.021400001	0.067033261
0.021500001	0.066669766
0.021600001	0.06663096
0.0217	0.066979189
0.0218	0.067961517
0.0219	0.06975859
0.022	0.071964267
0.0221	0.073651755
0.0222	0.074157429
0.022299999	0.073557315
0.022399999	0.072302974
0.022500001	0.070623153
0.022600001	0.068599648
0.022700001	0.066666554
0.0228	0.065576822
0.0229	0.065831119
0.023	0.067223287
0.0231	0.068969436
0.0232	0.070417598
0.0233	0.071328027
0.023399999	0.071586607
0.023499999	0.071132253
0.023600001	0.070165651
0.023700001	0.069270631
0.023800001	0.069212914
0.0239	0.070277827
0.024	0.071918807
0.0241	0.073213573
0.0242	0.073648254
0.0243	0.07341791
0.0244	0.073039991
0.024499999	0.072783276
0.024599999	0.072653844
0.024700001	0.072544137
0.024800001	0.07235087
0.024900001	0.071916256
0.025	0.071183355
0.0251	0.070380585
0.0252	0.069861999
0.0253	0.069706092
0.0254	0.069607951
0.0255	0.069209025
0.025599999	0.068582994
0.025699999	0.068128163
0.025800001	0.068112402
0.025900001	0.068423426
0.026000001	0.068875135
0.0261	0.069510086
0.0262	0.070380554
0.0263	0.071245068
0.0264	0.071647409
0.0265	0.071447603
0.0266	0.070960188
0.026699999	0.070536786
0.026799999	0.07017358
0.026900001	0.069662068
0.027000001	0.069003613
0.027100001	0.068465969
0.0272	0.06839056
0.0273	0.068812298
0.0274	0.069451522
0.0275	0.070073468
0.0276	0.070708369
0.0277	0.071383915
0.027799999	0.07191952
0.027899999	0.072044783
0.028000001	0.071750604
0.028100001	0.071377198
0.028200001	0.071255276
0.0283	0.071396951
0.0284	0.071614423
0.0285	0.071866554
0.0286	0.072191341
0.0287	0.07233741
0.0288	0.071879898
0.028899999	0.070731271
0.028999999	0.069377286
0.029100001	0.068510886
0.029200001	0.068534211
0.029300001	0.069356877
0.0294	0.070591742
0.0295	0.071870898
0.0296	0.072971955
0.0297	0.073786981
0.0298	0.074235175
0.0299	0.074274427
0.029999999	0.07388101
0.030099999	0.073027463
0.030200001	0.071775192
0.030300001	0.070397952
0.030400001	0.069389283
0.0305	0.069177801
0.0306	0.069848605
0.0307	0.071004537
0.0308	0.072189647
0.0309	0.073196384
0.031	0.073925297
0.031099999	0.074143224
0.031199999	0.07354224
0.031300001	0.072105741
0.031399999	0.070228215
0.031500001	0.068482395
0.031599999	0.067293246
0.0317	0.066776845
0.031800002	0.066869741
0.0319	0.067533218
0.032000002	0.068755813
0.0321	0.070345659
0.032200001	0.071865769
0.032299999	0.072748787
0.032400001	0.072610167
0.032499999	0.071526861
0.032600001	0.070043515
0.032699999	0.069000018
0.0328	0.06902593
0.032900002	0.070059807
0.033	0.071300888
0.033100002	0.07178115
0.0332	0.07118835
0.033300001	0.07012833
0.033399999	0.069536716
0.033500001	0.069898767
0.033599999	0.07102128
0.033700001	0.072376675
0.033799999	0.073566998
0.0339	0.074451216
0.034000002	0.074890642
0.0341	0.074604384
0.034200002	0.073366991
0.0343	0.071371079
0.034400001	0.069148446
0.034499999	0.067294262
0.034600001	0.066149543
0.034699999	0.065741461
0.034800001	0.065972799
0.034899999	0.066633118
0.035	0.067432525
0.035100002	0.068101551
0.0352	0.06853393
0.035300002	0.068831539
0.0354	0.069219997
0.035500001	0.069890591
0.035599999	0.070871327
0.035700001	0.071970761
0.035799999	0.072847504
0.035900001	0.073211178
0.035999999	0.072946015
0.0361	0.072131538
0.036200002	0.071127597
0.0363	0.070328479
0.036400002	0.069899676
0.0365	0.069666546
0.036600001	0.069382848
0.036699999	0.069088736
0.036800001	0.069040202
0.036899999	0.069361863
0.037000001	0.06980232
0.037099998	0.069931521
0.0372	0.069559979
0.037300002	0.06891989
0.0374	0.068391484
0.037500002	0.068156925
0.0376	0.068172013
0.037700001	0.068326845
0.037799999	0.068539273
0.037900001	0.068807535
0.037999999	0.069141528
0.038100001	0.069572463
