[Name]
Series 1 at /POINT:Point 1

[Data]
Time [ s ],Velocity v [ m s^-1 ]	
0	0.062359332
1E-04	0.062924004
0.0002	0.06304811
0.0003	0.063314127
0.00035	0.063524312
0.0004	0.063720402
0.0005	0.064055574
0.0006	0.064256414
0.0007	0.064498503
0.0008	0.064888925
0.0009	0.065322798
0.001	0.065663253
0.0011	0.065944879
0.0012	0.066280671
0.0013	0.066633467
0.0014	0.066845116
0.0015	0.066899164
0.0016	0.066996721
0.0017	0.067283074
0.0018	0.067591272
0.0019	0.067620546
0.002	0.067336634
0.0021	0.067031987
0.0022	0.066950301
0.0023	0.066980208
0.0024	0.066859704
0.0025	0.066592601
0.0026	0.066483697
0.0027	0.066755395
0.0028	0.067258138
0.0029	0.067672913
0.003	0.067864398
0.0031	0.067924325
0.0032	0.067924226
0.0033	0.067820319
0.0034	0.067633543
0.0035	0.067561419
0.0036	0.067784172
0.0037	0.068216124
0.0038	0.068609397
0.0039	0.068878122
0.004	0.069182461
0.0041	0.069625981
0.0042	0.069998174
0.0043	0.069945464
0.0044	0.069353375
0.0045	0.068461955
0.0046	0.06759242
0.0047	0.066923946
0.0048	0.066560557
0.0049	0.066677785
0.005	0.06741569
0.0051	0.068549506
0.0052	0.06956891
0.0053	0.070081369
0.0054	0.07009954
0.0055	0.069893942
0.0056	0.069653462
0.0057	0.069367262
0.0058	0.069058621
0.0059	0.068877539
0.006	0.068896148
0.0061	0.068963965
0.0062	0.068937624
0.0063	0.068923122
0.0064	0.069136068
0.0065	0.069516598
0.0066	0.069674308
0.0067	0.069369092
0.0068	0.06896073
0.0069	0.069135544
0.007	0.070198918
0.0071	0.07157703
0.0072	0.072243976
0.0073	0.071750484
0.0074	0.07057276
0.0075	0.069519789
0.0076	0.069003398
0.0077	0.06892648
0.0078	0.069020046
0.0079	0.069194355
0.008	0.069488517
0.0081	0.069833744
0.0082	0.070031149
0.0083	0.069902149
0.0084	0.069374303
0.0085	0.068469999
0.0086	0.06741024
0.0087	0.066610406
0.0088	0.066460302
0.0089	0.067024065
0.009	0.067856494
0.0091	0.068307593
0.0092	0.068080078
0.0093	0.067458331
0.0094	0.06694204
0.0095	0.066827185
0.0096	0.067150214
0.0097	0.067833013
0.0098	0.068659156
0.0099	0.069212878
0.01	0.069124771
0.0101	0.068524028
0.0102	0.068124333
0.0103	0.068608082
0.0104	0.069904774
0.0105	0.071181736
0.0106	0.07156552
0.010700001	0.071002335
0.0108	0.070308035
0.0109	0.070305179
0.011	0.071102165
0.0111	0.072186399
0.0112	0.072912395
0.0113	0.07299555
0.0114	0.072533619
0.0115	0.071853956
0.0116	0.071299909
0.0117	0.071052763
0.0118	0.071022074
0.0119	0.070946547
0.012	0.07066103
0.0121	0.070251872
0.0122	0.069948939
0.0123	0.069805934
0.0124	0.069643361
0.0125	0.069260893
0.0126	0.068707067
0.0127	0.068226292
0.0128	0.067986579
0.0129	0.067885186
0.013	0.067807418
0.0131	0.067863607
0.0132	0.068198359
0.0133	0.068650335
0.0134	0.068900934
0.0135	0.068786119
0.0136	0.068601792
0.0137	0.068818488
0.0138	0.069595672
0.0139	0.070512042
0.014	0.070982998
0.0141	0.070968984
0.0142	0.07106829
0.0143	0.071969187
0.0144	0.073756181
0.0145	0.075798852
0.0146	0.077184054
0.0147	0.077269157
0.0148	0.076156245
0.0149	0.074404287
0.015	0.072572008
0.0151	0.07094046
0.0152	0.069497681
0.0153	0.068153404
0.0154	0.067058234
0.0155	0.066681735
0.0156	0.067367345
0.015699999	0.06896232
0.015799999	0.070789118
0.015900001	0.072091079
0.016000001	0.072582745
0.016100001	0.072530587
0.0162	0.072298082
0.0163	0.071996889
0.0164	0.071551845
0.0165	0.071008449
0.0166	0.070503854
0.0167	0.069965664
0.016799999	0.069201956
0.016899999	0.068240282
0.017000001	0.067580422
0.017100001	0.067742334
0.017200001	0.068667155
0.0173	0.069714907
0.0174	0.070225992
0.0175	0.070108967
0.0176	0.069759496
0.0177	0.069539374
0.0178	0.069496064
0.017899999	0.069539103
0.017999999	0.069646385
0.018100001	0.069798721
0.018200001	0.069874293
0.018300001	0.06968923
0.0184	0.069223249
0.0185	0.068753812
0.0186	0.068660968
0.0187	0.069134889
0.0188	0.070131453
0.0189	0.071316973
0.018999999	0.072223771
0.019099999	0.072433748
0.019200001	0.071761483
0.019300001	0.070467688
0.019400001	0.069180734
0.0195	0.068471517
0.0196	0.068420488
0.0197	0.068751046
0.0198	0.069190147
0.0199	0.069701133
0.02	0.070302503
0.020099999	0.070718173
0.020199999	0.070458537
0.020300001	0.069325167
0.020400001	0.067666162
0.020500001	0.066091472
0.0206	0.065090158
0.0207	0.064968054
0.0208	0.065936298
0.0209	0.067904586
0.021	0.070205475
0.0211	0.071843142
0.021199999	0.072248685
0.021299999	0.071680909
0.021400001	0.070791919
0.021500001	0.069907725
0.021600001	0.06904402
0.0217	0.068214004
0.0218	0.067763556
0.0219	0.068125711
0.022	0.069319238
0.0221	0.070856844
0.0222	0.072115793
0.022299999	0.072625812
0.022399999	0.072200909
0.022500001	0.070908605
0.022600001	0.069077583
0.022700001	0.067478287
0.0228	0.067065491
0.0229	0.068214687
0.023	0.070280026
0.0231	0.07206006
0.0232	0.0727569
0.0233	0.072637566
0.023399999	0.072413607
0.023499999	0.072347304
0.023600001	0.072268361
0.023700001	0.072100673
0.023800001	0.071969331
0.0239	0.071890149
0.024	0.071677605
0.0241	0.071181338
0.0242	0.070544959
0.0243	0.069999208
0.0244	0.069600263
0.024499999	0.06918989
0.024599999	0.068697564
0.024700001	0.068353588
0.024800001	0.068529785
0.024900001	0.069338738
0.025	0.070554458
0.0251	0.071842121
0.0252	0.072818142
0.0253	0.073136336
0.0254	0.072722754
0.0255	0.071775858
0.025599999	0.070752943
0.025699999	0.06999952
0.025800001	0.069514691
0.025900001	0.068981395
0.026000001	0.068194464
0.0261	0.067414858
0.0262	0.067156794
0.0263	0.067619774
0.0264	0.06851687
0.0265	0.069526838
0.0266	0.070583777
0.026699999	0.071750719
0.026799999	0.072795822
0.026900001	0.073239388
0.027000001	0.072946916
0.027100001	0.07237848
0.0272	0.072122459
0.0273	0.072337809
0.0274	0.072672168
0.0275	0.072725877
0.0276	0.072350837
0.0277	0.071506212
0.027799999	0.070238717
0.027899999	0.068795613
0.028000001	0.06767087
0.028100001	0.067374304
0.028200001	0.067968006
0.0283	0.069033739
0.0284	0.070118506
0.0285	0.071185523
0.0286	0.072507427
0.0287	0.074070592
0.0288	0.075379522
0.028899999	0.075819107
0.028999999	0.075175542
0.029100001	0.073802794
0.029200001	0.072321111
0.029300001	0.071135497
0.0294	0.070465613
0.0295	0.070381505
0.0296	0.070792213
0.0297	0.07160338
0.0298	0.072744283
0.0299	0.074068039
0.029999999	0.075151392
0.030099999	0.075317177
0.030200001	0.074151745
0.030300001	0.071791458
0.030400001	0.068980559
0.0305	0.066649984
0.0306	0.06544088
0.0307	0.06544558
0.0308	0.066389778
0.0309	0.067880694
0.031	0.069555475
0.031099999	0.070958441
0.031199999	0.071560973
0.031300001	0.071176024
0.031399999	0.070199587
0.031500001	0.069311714
0.031599999	0.069066669
