[Name]
Series 1 at /POINT:Point 1

[Data]
Time [ s ],Velocity v [ m s^-1 ]	
0.028200001	0.070572416
0.0283	0.069132928
0.0284	0.068246495
0.0285	0.068131541
0.0286	0.068996567
0.0287	0.070808069
0.0288	0.073084765
0.028899999	0.074957083
0.028999999	0.075714522
0.029100001	0.075107539
0.029200001	0.073288771
0.029300001	0.07077202
0.0294	0.068264997
0.0295	0.066501068
0.0296	0.065917696
0.0297	0.066523244
0.0298	0.067960511
0.0299	0.069704686
0.029999999	0.071179891
0.030099999	0.071835761
0.030200001	0.071357664
0.030300001	0.069932212
0.030400001	0.068379473
0.0305	0.067594945
0.0306	0.067958781
0.0307	0.06909315
0.0308	0.070244642
0.0309	0.070824104
0.031	0.07069933
0.031099999	0.070116964
0.031199999	0.069453112
0.031300001	0.069104473
0.031399999	0.069369341
0.031500001	0.070260641
0.031599999	0.071476446
0.0317	0.072542828
0.031800002	0.073163902
0.0319	0.073322339
0.032000002	0.073041696
0.0321	0.072388598
0.032200001	0.071526149
0.032299999	0.070623544
0.032400001	0.069732754
0.032499999	0.068734918
0.032600001	0.067575522
0.032699999	0.066539935
0.0328	0.066040348
0.032900002	0.066218362
0.033	0.066710965
0.033100002	0.066971376
0.0332	0.066841649
0.033300001	0.066832498
0.033399999	0.067697173
0.033500001	0.069656754
0.033599999	0.072078361
0.033700001	0.073999886
0.033799999	0.074871805
0.0339	0.074746052
0.034000002	0.073864773
0.0341	0.072370842
0.034200002	0.070444574
0.0343	0.06852885
0.034400001	0.06719128
0.034499999	0.0667609
0.034600001	0.067167064
0.034699999	0.067949024
0.034800001	0.068539417
0.034899999	0.0686393
0.035	0.068319963
0.035100002	0.067909274
0.0352	0.067690102
0.035300002	0.067674655
0.0354	0.067786663
0.035500001	0.067921562
0.035599999	0.067950153
0.035700001	0.067816374
0.035799999	0.067542852
0.035900001	0.067221843
0.035999999	0.067034159
0.0361	0.067245331
0.036200002	0.0681143
0.0363	0.069688164
0.036400002	0.071572756
0.0365	0.073062734
0.036600001	0.073555324
0.036699999	0.072981003
0.036800001	0.071755141
0.036899999	0.070429677
0.037000001	0.069396475
0.037099998	0.068852776
0.0372	0.068854566
0.037300002	0.06926877
0.0374	0.069841848
0.037500002	0.070363707
0.0376	0.07074147
0.037700001	0.071106459
0.037799999	0.071661535
0.037900001	0.072384855
0.037999999	0.072937683
0.038100001	0.072843103
0.038199998	0.071879823
0.0383	0.070220358
0.038400002	0.068355352
0.0385	0.066825955
0.038600002	0.066051266
0.0387	0.066193326
0.038800001	0.067062017
0.038899999	0.068191989
0.039000001	0.069117335
0.039099999	0.069694383
0.039200001	0.070122623
0.039299998	0.070525459
0.0394	0.070625702
0.039500002	0.070193496
0.0396	0.069543581
0.039700002	0.069342529
0.039799999	0.069945451
0.039900001	0.071063221
0.039999999	0.072083024
0.040100001	0.072594885
0.040199999	0.072480082
0.040300001	0.071854382
0.040399998	0.070916457
0.0405	0.069865495
0.040600002	0.068967293
0.0407	0.068472928
0.040800002	0.068361316
0.040899999	0.068266991
0.041000001	0.067865736
0.041099999	0.067256708
0.041200001	0.066908119
0.041299999	0.067158714
0.041400001	0.067916677
0.041499998	0.068813263
0.0416	0.069639695
0.041700002	0.070428912
0.0418	0.071156335
0.041900002	0.071642728
0.041999999	0.071750724
0.042100001	0.071646957
0.042199999	0.071617177
0.042300001	0.071633727
0.042399999	0.071391473
0.0425	0.070817907
0.042599998	0.070153769
0.0427	0.069671195
0.042800002	0.069518854
0.0429	0.069655475
0.043000002	0.069863169
0.043099999	0.069831326
0.043200001	0.06934929
0.043299999	0.068491098
0.043400001	0.067630092
0.043499999	0.067306575
0.0436	0.067762469
0.043699998	0.068784535
0.0438	0.069831604
0.043900002	0.070507156
0.044	0.070862329
0.044100002	0.071115929
0.044199999	0.071349346
0.044300001	0.071561283
0.044399999	0.071869334
0.044500001	0.072435305
0.044599999	0.073079156
0.0447	0.073222688
0.044799998	0.072419857
0.0449	0.070855882
0.045000002	0.069210239
0.0451	0.068054262
0.045200001	0.067551743
0.045299999	0.067786881
0.045400001	0.068897407
0.045499999	0.070678146
0.045600001	0.072374188
0.045699999	0.073207928
0.0458	0.072948446
0.045899998	0.072078225
0.046	0.071171901
0.046100002	0.070422056
0.0462	0.069715394
0.046300001	0.069011883
0.046399999	0.068495246
0.046500001	0.068422551
0.046599999	0.068843703
0.046700001	0.069612824
0.046799999	0.070601017
0.0469	0.071574641
0.046999998	0.072197617
0.0471	0.072108023
0.047200002	0.071219764
0.0473	0.06976517
0.047400001	0.068141562
0.047499999	0.066771791
0.047600001	0.065964981
0.047699999	0.065867205
0.047800001	0.066420761
0.047899999	0.067312945
0.048	0.068241532
0.048099998	0.069051101
0.0482	0.069816088
0.048300002	0.070568109
0.0484	0.071076374
0.048500001	0.071073938
0.048599999	0.070684934
0.048700001	0.070393637
0.048799999	0.070558243
0.048900001	0.071016933
0.048999999	0.071349469
0.0491	0.071191314
0.049199998	0.070506483
0.0493	0.069521841
0.049400002	0.068526318
0.0495	0.067795541
0.049600001	0.067478288
0.049699999	0.067576069
0.049800001	0.067994434
0.049899999	0.068550644
0.050000001	0.069057083
0.050099999	0.069420942
0.0502	0.069696377
0.050299998	0.069974125
0.0504	0.070297255
0.050500002	0.070599756
0.0506	0.070726633
0.050700001	0.070565687
0.050799999	0.070189253
0.050900001	0.069833726
0.050999999	0.069776788
0.051100001	0.06997733
0.051199999	0.070074236
0.0513	0.069603923
0.051399998	0.068407336
0.0515	0.066745057
0.051600002	0.065195045
0.0517	0.064311849
0.051800001	0.064424435
0.051899999	0.065519317
0.052000001	0.067211226
0.052099999	0.068708781
0.052200001	0.069222759
0.052299999	0.068477959
0.0524	0.067004324
0.052499998	0.065772644
0.0526	0.065460377
0.052700002	0.066048302
0.0528	0.067111019
0.052900001	0.068259994
0.052999999	0.069376407
0.053100001	0.07047241
0.053199999	0.07145238
0.053300001	0.072007374
0.053399999	0.071985585
0.0535	0.071541187
0.053599998	0.070909896
0.0537	0.070116154
0.053800002	0.068904155
0.0539	0.06737693
0.054000001	0.0660554
0.054099999	0.065491655
0.054200001	0.065929465
0.054299999	0.067269848
0.054400001	0.06919409
0.054499999	0.071167653
0.0546	0.072380977
0.054699998	0.072304194
0.0548	0.07115806
0.054900002	0.069720666
0.055	0.068834961
0.055100001	0.06885941
0.055199999	0.069605913
0.055300001	0.070523719
0.055399999	0.071059196
0.055500001	0.070938934
0.055599999	0.070257035
0.0557	0.069410826
0.055799998	0.068814355
0.0559	0.06859869
0.056000002	0.068612685
0.0561	0.068670314
0.056200001	0.068757673
0.056299999	0.0689774
0.056400001	0.069369423
0.056499999	0.069850871
0.056600001	0.070284516
0.056699999	0.070560538
0.0568	0.070583416
0.056899998	0.070355421
0.057	0.069956296
0.057100002	0.069482642
0.0572	0.069074998
0.057300001	0.068889217
0.057399999	0.068983888
0.057500001	0.069286553
0.057599999	0.06971772
0.057700001	0.070179456
0.057799999	0.070448653
0.0579	0.070256425
0.057999998	0.069539051
0.0581	0.068553776
0.058200002	0.067676631
0.0583	0.067095799
0.058400001	0.066818256
0.058499999	0.066796603
0.058600001	0.067156838
0.058699999	0.067972093
0.058800001	0.069013472
0.058899999	0.069925883
0.059	0.070633128
0.059099998	0.071473851
0.0592	0.07268065
0.059300002	0.073861408
0.0594	0.074274078
0.059500001	0.073417055
0.059599999	0.071493309
0.059700001	0.069219982
0.059799999	0.06732221
0.059900001	0.066237757
0.059999999	0.06615073
0.0601	0.066995961
0.060199998	0.068546269
0.0603	0.070384714
0.060400002	0.072052452
0.0605	0.073156604
0.060600001	0.07347076
0.060699999	0.072939431
0.060800001	0.071746194
0.060899999	0.070259639
0.061000001	0.068979558
0.061099999	0.068307484
0.0612	0.068297386
0.061299998	0.068638713
0.0614	0.068990175
0.061500002	0.069252361
0.0616	0.06948754
0.061700001	0.069728811
0.061799999	0.069843441
0.061900001	0.069719537
0.061999999	0.069337389
0.062100001	0.068711148
0.062199999	0.067828052
0.0623	0.066792911
0.062399998	0.066046376
0.0625	0.06616804
0.062600002	0.067336956
0.062700003	0.06898666
0.062799998	0.070141303
0.062899999	0.070208429
0.063000001	0.069468337
0.063100003	0.068833441
0.063199997	0.06909448
0.063299999	0.070308477
0.0634	0.071782589
0.063500002	0.072634467
0.063600004	0.072380239
0.063699998	0.071182727
0.0638	0.069704686
0.063900001	0.068624012
0.064000003	0.068245502
0.064099997	0.068433478
0.064199999	0.068967247
0.064300001	0.069873945
0.064400002	0.071199727
0.064499997	0.072624228
0.064599998	0.073359831
0.0647	0.07274724
0.064800002	0.07094417
0.064900003	0.068852089
0.064999998	0.067450921
0.065099999	0.067214413
0.065200001	0.067984736
0.065300003	0.069279277
0.065399997	0.070599086
0.065499999	0.071604352
0.0656	0.072201897
0.065700002	0.072435191
0.065800004	0.07236883
0.065899998	0.072052192
0.066	0.071524505
0.066100001	0.07083498
0.066200003	0.069996697
0.066299997	0.069063575
0.066399999	0.068284237
0.066500001	0.068023071
0.066600002	0.068563105
0.066699997	0.069767564
0.066799998	0.071001389
0.0669	0.07152395
0.067000002	0.071095086
0.067100003	0.070311846
0.067199998	0.070052109
0.067299999	0.070699694
0.067400001	0.071872839
0.067500003	0.072691131
0.067599997	0.072444388
0.067699999	0.071184421
0.0678	0.069560804
0.067900002	0.068155744
0.068000004	0.067313646
0.068099998	0.06718105
0.0682	0.067888427
0.068300001	0.069271265
0.068400003	0.070771619
0.068499997	0.071615493
0.068599999	0.071280876
0.068700001	0.069953245
0.068800002	0.068341402
0.068899997	0.067178578
0.068999998	0.066778137
0.0691	0.06713208
0.069200002	0.068165309
0.069300003	0.06970072
0.069399998	0.071395424
0.069499999	0.07279122
0.069600001	0.073650741
0.069700003	0.073948585
0.069799997	0.073800947
0.069899999	0.073381207
0.07	0.072769621
0.070100002	0.072076349
0.070200004	0.071480889
0.070299998	0.071127502
0.0704	0.071000242
0.070500001	0.071056296
0.070600003	0.07126409
0.070699997	0.071486289
0.070799999	0.071525716
0.070900001	0.071248424
0.071000002	0.070682912
0.071099997	0.069991635
0.071199998	0.069342019
0.0713	0.068764156
0.071400002	0.0682104
0.071500003	0.067698225
0.071599998	0.067328178
0.071699999	0.067318645
0.071800001	0.067799424
0.071900003	0.068690337
0.071999997	0.069758117
0.072099999	0.070862516
0.0722	0.072088792
0.072300002	0.073527502
0.072400004	0.074860691
0.072499998	0.075313885
0.0726	0.074414345
0.072700001	0.072467721
0.072800003	0.070253721
0.072899997	0.068402173
0.072999999	0.067299127
0.073100001	0.067090472
0.073200002	0.067623673
0.073299997	0.068467328
0.073399998	0.069183446
0.0735	0.069624798
0.073600002	0.069954511
0.073700003	0.070381909
0.073799998	0.070897699
0.073899999	0.07124719
0.074000001	0.071248984
0.074100003	0.070954541
0.074199997	0.070554524
0.074299999	0.07007506
0.0744	0.069466393
0.074500002	0.068905147
0.074600004	0.068934581
0.074699998	0.069939196
0.0748	0.071678444
0.074900001	0.07315425
0.075000003	0.073373631
0.075099997	0.072025572
0.075199999	0.069690631
0.075300001	0.067302924
0.075400002	0.065504585
0.075499997	0.064643114
0.075599998	0.064862163
0.0757	0.065987304
0.075800002	0.067537224
0.075900003	0.069082474
0.075999998	0.070378403
0.076099999	0.071501855
0.076200001	0.072540789
0.076300003	0.073464022
0.076399997	0.074144815
0.076499999	0.074381355
