t	u	v	z						
0.00E+00	0.051412234	0.00E+00	0.00E+00						
1.00E-04	5.19E-02	6.44E-04	-1.21E-03						
2.00E-04	0.051982083	9.13E-05	-9.75E-04						
3.00E-04	0.052202192	2.11E-04	-8.03E-04						
3.50E-04	0.052379942	3.41E-04	-1.49E-03						
4.00E-04	0.052541434	3.70E-04	-1.39E-03						
5.00E-04	0.052817797	1.96E-04	-1.94E-03						
6.00E-04	0.052983245	-1.37E-04	-7.44E-04						
7.00E-04	0.05318028	2.12E-04	-5.32E-04						
8.00E-04	0.05350251	6.66E-04	-2.36E-03						
9.00E-04	0.053863622	7.08E-04	-3.79E-03						
1.00E-03	0.054146256	3.54E-04	-3.93E-03						
1.10E-03	0.05437908	1.24E-04	-3.75E-03						
1.20E-03	0.054656155	2.11E-04	-4.06E-03						
1.30E-03	0.054948512	3.07E-04	-4.76E-03						
1.40E-03	0.055122854	7.33E-05	-5.34E-03						
1.50E-03	0.055164854	-1.51E-04	-5.78E-03						
1.60E-03	0.055243094	6.76E-05	-6.67E-03						
1.70E-03	0.055479678	6.55E-04	-8.37E-03						
1.80E-03	0.055734923	7.53E-04	-1.06E-02						
1.90E-03	0.05575705	-3.45E-05	-1.30E-02						
2.00E-03	0.05551939	-7.10E-04	-1.57E-02						
2.10E-03	0.055266507	-5.43E-04	-1.92E-02						
2.20E-03	0.055198222	2.69E-04	-2.42E-02						
2.30E-03	0.055222714	6.25E-04	-3.14E-02						
2.40E-03	0.055122422	2.12E-04	-4.15E-02						
2.50E-03	0.054899538	-2.98E-04	-5.71E-02						
2.60E-03	0.054808932	-1.40E-04	-8.29E-02						
2.70E-03	0.055035556	5.70E-04	-1.23E-01						
2.80E-03	0.055452763	1.01E-03	-1.75E-01						
2.90E-03	0.055796007	5.35E-04	-2.23E-01						
3.00E-03	0.055954361	-4.75E-04	-2.36E-01						
3.10E-03	0.056003753	-7.82E-04	-1.82E-01						
3.20E-03	0.056004796	-5.16E-04	-6.80E-02						
3.30E-03	0.055920591	-2.10E-04	5.43E-02						
3.40E-03	0.055765862	-5.58E-06	1.37E-01						
3.50E-03	0.055702834	3.55E-04	1.76E-01						
3.60E-03	0.055884209	8.36E-04	1.98E-01						
3.70E-03	0.056239651	9.78E-04	2.04E-01						
3.80E-03	0.056566095	5.11E-04	1.67E-01						
3.90E-03	0.056791531	-3.11E-04	8.15E-02						
4.00E-03	0.057046229	-2.64E-04	-3.48E-02						
4.10E-03	0.057417606	1.73E-04	-1.59E-01						
4.20E-03	0.057730477	2.05E-04	-2.28E-01						
4.30E-03	0.057688347	-5.70E-04	-1.53E-01						
4.40E-03	0.057201394	-1.24E-03	6.43E-02						
4.50E-03	0.056473362	-1.42E-03	2.98E-01						
4.60E-03	0.055768686	-6.62E-04	4.00E-01						
4.70E-03	0.055234756	6.05E-04	3.32E-01						
4.80E-03	0.054961616	1.30E-03	1.74E-01						
4.90E-03	0.055100067	1.63E-03	1.31E-02						
5.00E-03	0.055757121	1.74E-03	-1.04E-01						
5.10E-03	0.056756238	1.36E-03	-1.32E-01						
5.20E-03	0.057664353	-1.02E-05	-2.33E-02						
5.30E-03	0.058121715	-1.92E-03	2.10E-01						
5.40E-03	0.058143518	-2.27E-03	4.49E-01						
5.50E-03	0.057990186	-9.46E-04	5.37E-01						
5.60E-03	0.057844916	4.48E-04	4.35E-01						
5.70E-03	0.057722016	1.09E-03	2.22E-01						
5.80E-03	0.057637103	9.54E-04	1.75E-02						
5.90E-03	0.057696826	7.65E-04	-8.90E-02						
6.00E-03	0.057959408	6.00E-04	-1.01E-01						
6.10E-03	0.058295744	2.69E-04	-8.80E-02						
6.20E-03	0.058535751	-4.45E-04	-1.13E-01						
6.30E-03	0.0586869	-8.12E-04	-1.95E-01						
6.40E-03	0.058852732	-4.18E-04	-2.91E-01						
6.50E-03	0.058943919	-3.30E-04	-3.30E-01						
6.60E-03	0.058645258	-1.00E-03	-2.89E-01						
6.70E-03	0.057816664	-1.99E-03	-1.99E-01						
6.80E-03	0.056857439	-1.97E-03	-1.02E-01						
6.90E-03	0.056455113	3.18E-04	-1.80E-02						
7.00E-03	0.056929767	1.98E-03	6.43E-02						
7.10E-03	0.057865371	1.19E-03	1.64E-01						
7.20E-03	0.058497797	-1.79E-03	2.41E-01						
7.30E-03	0.05848247	-5.38E-03	1.98E-01						
7.40E-03	0.058137144	-6.52E-03	6.97E-03						
7.50E-03	0.057951193	-5.56E-03	-2.11E-01						
7.60E-03	0.058100337	-4.59E-03	-2.70E-01						
7.70E-03	0.058382173	-5.28E-03	-1.34E-01						
7.80E-03	0.058536284	-8.25E-03	6.85E-02						
7.90E-03	0.058476423	-1.29E-02	1.75E-01						
8.00E-03	0.058252287	-1.77E-02	1.40E-01						
8.10E-03	0.057941148	-2.24E-02	4.48E-02						
8.20E-03	0.057644838	-2.82E-02	5.61E-04						
8.30E-03	0.057496993	-3.59E-02	7.20E-02						
8.40E-03	0.057582383	-4.61E-02	2.42E-01						
8.50E-03	0.057827942	-6.03E-02	4.24E-01						
8.60E-03	0.058082975	-8.01E-02	4.94E-01						
8.70E-03	0.058325848	-1.05E-01	3.76E-01						
8.80E-03	0.05866167	-1.30E-01	1.20E-01						
8.90E-03	0.059127918	-1.53E-01	-1.57E-01						
9.00E-03	0.05952239	-1.67E-01	-3.53E-01						
9.10E-03	0.059553358	-1.68E-01	-4.34E-01						
9.20E-03	0.059150775	-1.51E-01	-4.22E-01						
9.30E-03	0.058514094	-1.13E-01	-3.42E-01						
9.40E-03	0.057944054	-5.76E-02	-2.18E-01						
9.50E-03	0.057587808	4.00E-03	-7.27E-02						
9.60E-03	0.057458138	6.33E-02	4.78E-02						
9.70E-03	0.057548844	1.16E-01	9.49E-02						
9.80E-03	0.057846757	1.66E-01	6.16E-02						
9.90E-03	0.058194445	2.12E-01	-3.49E-03						
1.00E-02	0.058274928	2.42E-01	-3.50E-02						
1.01E-02	0.057905266	2.41E-01	-1.14E-02						
1.02E-02	0.057251513	1.97E-01	1.89E-02						
1.03E-02	0.056672722	1.22E-01	-1.91E-03						
1.04E-02	0.056389123	4.12E-02	-8.92E-02						
1.05E-02	0.056358934	-1.86E-02	-1.89E-01						
1.06E-02	0.056440341	-2.88E-02	-2.12E-01						
1.07E-02	0.056583658	1.09E-02	-9.91E-02						
1.08E-02	0.056823014	6.45E-02	8.56E-02						
1.09E-02	0.057130643	9.53E-02	2.07E-01						
1.10E-02	0.057353482	9.11E-02	2.14E-01						
1.11E-02	0.057362376	6.74E-02	1.79E-01						
1.12E-02	0.057194573	4.50E-02	1.74E-01						
1.13E-02	0.057045939	4.51E-02	1.78E-01						
1.14E-02	0.057115792	7.25E-02	1.30E-01						
1.15E-02	0.057468555	1.16E-01	1.32E-02						
1.16E-02	0.057996691	1.48E-01	-1.33E-01						
1.17E-02	0.058481665	1.43E-01	-2.42E-01						
1.18E-02	0.058725581	9.21E-02	-2.46E-01						
1.19E-02	0.058687195	4.27E-03	-1.28E-01						
1.20E-02	0.058566802	-9.53E-02	7.38E-02						
1.21E-02	0.058681073	-1.82E-01	2.81E-01						
1.22E-02	0.059088601	-2.38E-01	3.90E-01						
1.23E-02	0.059489686	-2.59E-01	3.18E-01						
1.24E-02	0.059469191	-2.45E-01	8.60E-02						
1.25E-02	0.05897589	-2.10E-01	-1.98E-01						
1.26E-02	0.058484847	-1.68E-01	-3.76E-01						
1.27E-02	0.05854134	-1.31E-01	-3.66E-01						
1.28E-02	0.059284454	-1.13E-01	-1.90E-01						
