t	u	v	z						
0.00E+00	0.060379538	0.00E+00	0.00E+00						
1.00E-04	0.060927538	6.44E-04	-1.21E-03						
2.00E-04	0.06104878	9.13E-05	-9.75E-04						
3.00E-04	0.06130728	2.11E-04	-8.03E-04						
3.50E-04	0.061516033	3.41E-04	-1.49E-03						
4.00E-04	0.061705692	3.70E-04	-1.39E-03						
5.00E-04	0.062030259	1.96E-04	-1.94E-03						
6.00E-04	0.062224564	-1.37E-04	-7.44E-04						
7.00E-04	0.062455966	2.12E-04	-5.32E-04						
8.00E-04	0.0628344	6.66E-04	-2.36E-03						
9.00E-04	0.063258497	7.08E-04	-3.79E-03						
1.00E-03	0.063590427	3.54E-04	-3.93E-03						
1.10E-03	0.06386386	1.24E-04	-3.75E-03						
1.20E-03	0.064189262	2.11E-04	-4.06E-03						
1.30E-03	0.064532613	3.07E-04	-4.76E-03						
1.40E-03	0.064737363	7.33E-05	-5.34E-03						
1.50E-03	0.064786689	-1.51E-04	-5.78E-03						
1.60E-03	0.064878575	6.76E-05	-6.67E-03						
1.70E-03	0.065156424	6.55E-04	-8.37E-03						
1.80E-03	0.065456189	7.53E-04	-1.06E-02						
1.90E-03	0.065482176	-3.45E-05	-1.30E-02						
2.00E-03	0.065203063	-7.10E-04	-1.57E-02						
2.10E-03	0.064906072	-5.43E-04	-1.92E-02						
2.20E-03	0.064825876	2.69E-04	-2.42E-02						
2.30E-03	0.064854641	6.25E-04	-3.14E-02						
2.40E-03	0.064736855	2.12E-04	-4.15E-02						
2.50E-03	0.064475096	-2.98E-04	-5.71E-02						
2.60E-03	0.064368687	-1.40E-04	-8.29E-02						
2.70E-03	0.064634839	5.70E-04	-1.23E-01						
2.80E-03	0.065124815	1.01E-03	-1.75E-01						
2.90E-03	0.065527927	5.35E-04	-2.23E-01						
3.00E-03	0.065713901	-4.75E-04	-2.36E-01						
3.10E-03	0.065771908	-7.82E-04	-1.82E-01						
3.20E-03	0.065773133	-5.16E-04	-6.80E-02						
3.30E-03	0.065674241	-2.10E-04	5.43E-02						
3.40E-03	0.065492524	-5.58E-06	1.37E-01						
3.50E-03	0.065418503	3.55E-04	1.76E-01						
3.60E-03	0.065631514	8.36E-04	1.98E-01						
3.70E-03	0.066048951	9.78E-04	2.04E-01						
3.80E-03	0.066432334	5.11E-04	1.67E-01						
3.90E-03	0.06669709	-3.11E-04	8.15E-02						
4.00E-03	0.066996213	-2.64E-04	-3.48E-02						
4.10E-03	0.067432365	1.73E-04	-1.59E-01						
4.20E-03	0.067799807	2.05E-04	-2.28E-01						
4.30E-03	0.067750328	-5.70E-04	-1.53E-01						
4.40E-03	0.067178442	-1.24E-03	6.43E-02						
4.50E-03	0.066323426	-1.42E-03	2.98E-01						
4.60E-03	0.065495841	-6.62E-04	4.00E-01						
4.70E-03	0.064868783	6.05E-04	3.32E-01						
4.80E-03	0.064548002	1.30E-03	1.74E-01						
4.90E-03	0.064710602	1.63E-03	1.31E-02						
5.00E-03	0.065482259	1.74E-03	-1.04E-01						
5.10E-03	0.066655641	1.36E-03	-1.32E-01						
5.20E-03	0.067722149	-1.02E-05	-2.33E-02						
5.30E-03	0.068259285	-1.92E-03	2.10E-01						
5.40E-03	0.068284891	-2.27E-03	4.49E-01						
5.50E-03	0.068104814	-9.46E-04	5.37E-01						
5.60E-03	0.067934207	4.48E-04	4.35E-01						
5.70E-03	0.06778987	1.09E-03	2.22E-01						
5.80E-03	0.067690146	9.54E-04	1.75E-02						
5.90E-03	0.067760287	7.65E-04	-8.90E-02						
6.00E-03	0.068068668	6.00E-04	-1.01E-01						
6.10E-03	0.068463667	2.69E-04	-8.80E-02						
6.20E-03	0.068745537	-4.45E-04	-1.13E-01						
6.30E-03	0.068923049	-8.12E-04	-1.95E-01						
6.40E-03	0.069117805	-4.18E-04	-2.91E-01						
6.50E-03	0.069224897	-3.30E-04	-3.30E-01						
6.60E-03	0.068874143	-1.00E-03	-2.89E-01						
6.70E-03	0.067901027	-1.99E-03	-1.99E-01						
6.80E-03	0.066774494	-1.97E-03	-1.02E-01						
6.90E-03	0.066301995	3.18E-04	-1.80E-02						
7.00E-03	0.066859437	1.98E-03	6.43E-02						
7.10E-03	0.067958229	1.19E-03	1.64E-01						
7.20E-03	0.068700963	-1.79E-03	2.41E-01						
7.30E-03	0.068682962	-5.38E-03	1.98E-01						
7.40E-03	0.068277404	-6.52E-03	6.97E-03						
7.50E-03	0.06805902	-5.56E-03	-2.11E-01						
7.60E-03	0.068234178	-4.59E-03	-2.70E-01						
7.70E-03	0.068565172	-5.28E-03	-1.34E-01						
7.80E-03	0.068746163	-8.25E-03	6.85E-02						
7.90E-03	0.06867586	-1.29E-02	1.75E-01						
8.00E-03	0.068412631	-1.77E-02	1.40E-01						
8.10E-03	0.068047223	-2.24E-02	4.48E-02						
8.20E-03	0.06769923	-2.82E-02	5.61E-04						
8.30E-03	0.067525599	-3.59E-02	7.20E-02						
8.40E-03	0.067625883	-4.61E-02	2.42E-01						
8.50E-03	0.067914272	-6.03E-02	4.24E-01						
8.60E-03	0.068213788	-8.01E-02	4.94E-01						
8.70E-03	0.068499022	-1.05E-01	3.76E-01						
8.80E-03	0.068893418	-1.30E-01	1.20E-01						
8.90E-03	0.069440989	-1.53E-01	-1.57E-01						
9.00E-03	0.069904265	-1.67E-01	-3.53E-01						
9.10E-03	0.069940635	-1.68E-01	-4.34E-01						
9.20E-03	0.069467833	-1.51E-01	-4.22E-01						
9.30E-03	0.068720102	-1.13E-01	-3.42E-01						
9.40E-03	0.068050636	-5.76E-02	-2.18E-01						
9.50E-03	0.067632253	4.00E-03	-7.27E-02						
9.60E-03	0.067479966	6.33E-02	4.78E-02						
9.70E-03	0.067586494	1.16E-01	9.49E-02						
9.80E-03	0.067936368	1.66E-01	6.16E-02						
9.90E-03	0.0683447	2.12E-01	-3.49E-03						
1.00E-02	0.068439221	2.42E-01	-3.50E-02						
1.01E-02	0.068005082	2.41E-01	-1.14E-02						
1.02E-02	0.067237302	1.97E-01	1.89E-02						
1.03E-02	0.066557558	1.22E-01	-1.91E-03						
1.04E-02	0.066224495	4.12E-02	-8.92E-02						
1.05E-02	0.066189039	-1.86E-02	-1.89E-01						
1.06E-02	0.066284645	-2.88E-02	-2.12E-01						
1.07E-02	0.06645296	1.09E-02	-9.91E-02						
1.08E-02	0.066734064	6.45E-02	8.56E-02						
1.09E-02	0.06709535	9.53E-02	2.07E-01						
1.10E-02	0.067357057	9.11E-02	2.14E-01						
1.11E-02	0.067367501	6.74E-02	1.79E-01						
1.12E-02	0.06717043	4.50E-02	1.74E-01						
1.13E-02	0.066995871	4.51E-02	1.78E-01						
1.14E-02	0.067077909	7.25E-02	1.30E-01						
1.15E-02	0.0674922	1.16E-01	1.32E-02						
1.16E-02	0.068112454	1.48E-01	-1.33E-01						
1.17E-02	0.068682017	1.43E-01	-2.42E-01						
1.18E-02	0.068968476	9.21E-02	-2.46E-01						
1.19E-02	0.068923395	4.27E-03	-1.28E-01						
1.20E-02	0.068782003	-9.53E-02	7.38E-02						
1.21E-02	0.068916206	-1.82E-01	2.81E-01						
1.22E-02	0.069394814	-2.38E-01	3.90E-01						
1.23E-02	0.069865856	-2.59E-01	3.18E-01						
1.24E-02	0.069841786	-2.45E-01	8.60E-02						
1.25E-02	0.069262444	-2.10E-01	-1.98E-01						
1.26E-02	0.068685753	-1.68E-01	-3.76E-01						
1.27E-02	0.0687521	-1.31E-01	-3.66E-01						
1.28E-02	0.069624828	-1.13E-01	-1.90E-01						
1.29E-02	0.070825824	-1.06E-01	4.44E-02						
1.30E-02	0.071663115	-9.25E-02	1.94E-01						
1.31E-02	0.071837249	-6.70E-02	1.83E-01						
1.32E-02	0.07147686	-3.30E-02	5.81E-02						
1.33E-02	0.070802914	1.07E-04	-5.97E-02						
1.34E-02	0.069995403	2.30E-02	-5.28E-02						
1.35E-02	0.069259337	3.88E-02	9.33E-02						
1.36E-02	0.06889894	5.83E-02	2.88E-01						
1.37E-02	0.069177921	8.94E-02	4.00E-01						
1.38E-02	0.070026326	1.30E-01	3.57E-01						
1.39E-02	0.070922069	1.73E-01	1.91E-01						
1.40E-02	0.071295567	2.04E-01	-5.22E-03						
1.41E-02	0.070992454	2.08E-01	-1.59E-01						
1.42E-02	0.070347321	1.83E-01	-2.23E-01						
1.43E-02	0.069801553	1.32E-01	-1.94E-01						
1.44E-02	0.069461305	6.84E-02	-8.76E-02						
1.45E-02	0.069095949	1.64E-02	5.41E-02						
1.46E-02	0.068475945	-1.03E-02	1.54E-01						
1.47E-02	0.067667153	-2.33E-02	1.34E-01						
1.48E-02	0.067033808	-4.34E-02	-2.99E-02						
1.49E-02	0.06690959	-8.73E-02	-2.53E-01						
1.50E-02	0.067292662	-1.49E-01	-3.98E-01						
1.51E-02	0.067844245	-2.00E-01	-3.83E-01						
1.52E-02	0.068153436	-2.09E-01	-2.32E-01						
1.53E-02	0.068013829	-1.62E-01	-3.72E-03						
1.54E-02	0.067644536	-7.24E-02	2.33E-01						
1.55E-02	0.067528421	2.83E-02	3.88E-01						
1.56E-02	0.067976776	1.16E-01	3.93E-01						
1.57E-02	0.068805307	1.75E-01	2.63E-01						
1.58E-02	0.069586931	2.07E-01	8.52E-02						
1.59E-02	0.070141302	2.19E-01	-4.39E-02						
1.60E-02	0.070800809	2.09E-01	-1.01E-01						
1.61E-02	0.072020489	1.75E-01	-1.10E-01						
1.62E-02	0.073776468	1.16E-01	-8.39E-02						
1.63E-02	0.075395024	4.10E-02	1.88E-04						
1.64E-02	0.076048357	-2.67E-02	1.35E-01						
1.65E-02	0.075495277	-6.99E-02	2.63E-01						
1.66E-02	0.074094747	-8.58E-02	3.35E-01						
1.67E-02	0.072263634	-7.82E-02	3.49E-01						
1.68E-02	0.070248018	-5.33E-02	3.17E-01						
1.69E-02	0.068308256	-1.89E-02	2.48E-01						
1.70E-02	0.06689894	1.65E-02	1.43E-01						
1.71E-02	0.066434819	4.16E-02	1.29E-02						
1.72E-02	0.066879424	4.38E-02	-1.02E-01						
1.73E-02	0.067796945	2.00E-02	-1.28E-01						
1.74E-02	0.068837581	-1.95E-02	-3.26E-02						
1.75E-02	0.069927013	-5.48E-02	1.08E-01						
1.76E-02	0.071069193	-6.85E-02	1.60E-01						
1.77E-02	0.071956785	-4.99E-02	8.32E-02						
1.78E-02	0.072139819	-5.74E-04	-2.80E-02						
1.79E-02	0.071486661	7.52E-02	-5.12E-02						
1.80E-02	0.070456855	1.64E-01	4.77E-02						
1.81E-02	0.06970445	2.38E-01	1.98E-01						
1.82E-02	0.069481126	2.74E-01	3.05E-01						
1.83E-02	0.069549079	2.59E-01	3.20E-01						
1.84E-02	0.069548033	1.93E-01	2.71E-01						
1.85E-02	0.069357385	9.06E-02	2.07E-01						
1.86E-02	0.06903299	-3.04E-02	9.54E-02						
1.87E-02	0.06863561	-1.34E-01	-1.13E-01						
1.88E-02	0.06826962	-1.76E-01	-3.57E-01						
1.89E-02	0.068102119	-1.39E-01	-4.75E-01						
1.90E-02	0.06822341	-3.86E-02	-3.94E-01						
1.91E-02	0.068455809	8.91E-02	-1.77E-01						
1.92E-02	0.068459174	1.97E-01	5.37E-02						
1.93E-02	0.068169472	2.49E-01	1.79E-01						
1.94E-02	0.068001332	2.47E-01	1.72E-01						
1.95E-02	0.068434215	2.20E-01	7.94E-02						
1.96E-02	0.069474191	1.99E-01	-2.56E-02						
