t	u	v	z						
1.08E-02	0.070439338	6.45E-02	8.56E-02						
1.09E-02	0.070436476	9.53E-02	2.07E-01						
1.10E-02	0.071234951	9.11E-02	2.14E-01						
1.11E-02	0.07232121	6.74E-02	1.79E-01						
1.12E-02	0.073048562	4.50E-02	1.74E-01						
1.13E-02	0.073131872	4.51E-02	1.78E-01						
1.14E-02	0.072669078	7.25E-02	1.30E-01						
1.15E-02	0.071988146	1.16E-01	1.32E-02						
1.16E-02	0.071433064	1.48E-01	-1.33E-01						
1.17E-02	0.071185457	1.43E-01	-2.42E-01						
1.18E-02	0.07115471	9.21E-02	-2.46E-01						
1.19E-02	0.071079043	4.27E-03	-1.28E-01						
1.20E-02	0.070792992	-9.53E-02	7.38E-02						
1.21E-02	0.07038307	-1.82E-01	2.81E-01						
1.22E-02	0.070079571	-2.38E-01	3.90E-01						
1.23E-02	0.069936299	-2.59E-01	3.18E-01						
1.24E-02	0.069773423	-2.45E-01	8.60E-02						
1.25E-02	0.06939024	-2.10E-01	-1.98E-01						
1.26E-02	0.06883538	-1.68E-01	-3.76E-01						
1.27E-02	0.068353707	-1.31E-01	-3.66E-01						
1.28E-02	0.068113547	-1.13E-01	-1.90E-01						
1.29E-02	0.068011964	-1.06E-01	4.44E-02						
1.30E-02	0.067934051	-9.25E-02	1.94E-01						
1.31E-02	0.067990345	-6.70E-02	1.83E-01						
1.32E-02	0.068325722	-3.30E-02	5.81E-02						
1.33E-02	0.068778542	1.07E-04	-5.97E-02						
1.34E-02	0.069029609	2.30E-02	-5.28E-02						
1.35E-02	0.068914579	3.88E-02	9.33E-02						
1.36E-02	0.068729908	5.83E-02	2.88E-01						
1.37E-02	0.06894701	8.94E-02	4.00E-01						
1.38E-02	0.069725645	1.30E-01	3.57E-01						
1.39E-02	0.070643726	1.73E-01	1.91E-01						
1.40E-02	0.071115561	2.04E-01	-5.22E-03						
1.41E-02	0.071101522	2.08E-01	-1.59E-01						
1.42E-02	0.071201013	1.83E-01	-2.23E-01						
1.43E-02	0.072103592	1.32E-01	-1.94E-01						
1.44E-02	0.073893923	6.84E-02	-8.76E-02						
1.45E-02	0.07594041	1.64E-02	5.41E-02						
1.46E-02	0.077328198	-1.03E-02	1.54E-01						
1.47E-02	0.07741346	-2.33E-02	1.34E-01						
1.48E-02	0.076298469	-4.34E-02	-2.99E-02						
1.49E-02	0.07454324	-8.73E-02	-2.53E-01						
1.50E-02	0.072707539	-1.49E-01	-3.98E-01						
1.51E-02	0.071072944	-2.00E-01	-3.83E-01						
1.52E-02	0.069627471	-2.09E-01	-2.32E-01						
1.53E-02	0.068280683	-1.62E-01	-3.72E-03						
1.54E-02	0.067183468	-7.24E-02	2.33E-01						
1.55E-02	0.066806266	2.83E-02	3.88E-01						
1.56E-02	0.067493156	1.16E-01	3.93E-01						
