t	u	v	z						
0.00E+00	0.047685562	0.00E+00	0.00E+00						
1.00E-04	0.048118352	6.44E-04	-1.21E-03						
2.00E-04	0.048214105	9.13E-05	-9.75E-04						
3.00E-04	0.048418259	2.11E-04	-8.03E-04						
3.50E-04	0.048583125	3.41E-04	-1.49E-03						
4.00E-04	0.048732911	3.70E-04	-1.39E-03						
5.00E-04	0.048989241	1.96E-04	-1.94E-03						
6.00E-04	0.049142697	-1.37E-04	-7.44E-04						
7.00E-04	0.049325449	2.12E-04	-5.32E-04						
8.00E-04	0.049624323	6.66E-04	-2.36E-03						
9.00E-04	0.049959259	7.08E-04	-3.79E-03						
1.00E-03	0.050221406	3.54E-04	-3.93E-03						
1.10E-03	0.050437353	1.24E-04	-3.75E-03						
1.20E-03	0.050694344	2.11E-04	-4.06E-03						
1.30E-03	0.05096551	3.07E-04	-4.76E-03						
1.40E-03	0.051127214	7.33E-05	-5.34E-03						
1.50E-03	0.051166169	-1.51E-04	-5.78E-03						
1.60E-03	0.051238738	6.76E-05	-6.67E-03						
1.70E-03	0.051458173	6.55E-04	-8.37E-03						
1.80E-03	0.051694917	7.53E-04	-1.06E-02						
1.90E-03	0.05171544	-3.45E-05	-1.30E-02						
2.00E-03	0.051495007	-7.10E-04	-1.57E-02						
2.10E-03	0.051260454	-5.43E-04	-1.92E-02						
2.20E-03	0.051197118	2.69E-04	-2.42E-02						
2.30E-03	0.051219836	6.25E-04	-3.14E-02						
2.40E-03	0.051126813	2.12E-04	-4.15E-02						
2.50E-03	0.050920085	-2.98E-04	-5.71E-02						
2.60E-03	0.050836047	-1.40E-04	-8.29E-02						
2.70E-03	0.051046244	5.70E-04	-1.23E-01						
2.80E-03	0.051433209	1.01E-03	-1.75E-01						
2.90E-03	0.051751572	5.35E-04	-2.23E-01						
3.00E-03	0.051898448	-4.75E-04	-2.36E-01						
3.10E-03	0.05194426	-7.82E-04	-1.82E-01						
3.20E-03	0.051945228	-5.16E-04	-6.80E-02						
3.30E-03	0.051867126	-2.10E-04	5.43E-02						
3.40E-03	0.051723613	-5.58E-06	1.37E-01						
