t	u	v	z						
0.00E+00	0.062126415	0.00E+00	0.00E+00						
1.00E-04	0.062692674	6.44E-04	-1.21E-03						
2.00E-04	0.062811711	9.13E-05	-9.75E-04						
3.00E-04	0.063079211	2.11E-04	-8.03E-04						
3.50E-04	0.063294076	3.41E-04	-1.49E-03						
4.00E-04	0.063487984	3.70E-04	-1.39E-03						
5.00E-04	0.063818375	1.96E-04	-1.94E-03						
6.00E-04	0.064014592	-1.37E-04	-7.44E-04						
7.00E-04	0.064255417	2.12E-04	-5.32E-04						
8.00E-04	0.064648334	6.66E-04	-2.36E-03						
9.00E-04	0.065083066	7.08E-04	-3.79E-03						
1.00E-03	0.06542261	3.54E-04	-3.93E-03						
1.10E-03	0.06570544	1.24E-04	-3.75E-03						
1.20E-03	0.066041697	2.11E-04	-4.06E-03						
1.30E-03	0.066391857	3.07E-04	-4.76E-03						
1.40E-03	0.066598965	7.33E-05	-5.34E-03						
1.50E-03	0.066650978	-1.51E-04	-5.78E-03						
1.60E-03	0.066751223	6.76E-05	-6.67E-03						
1.70E-03	0.067039739	6.55E-04	-8.37E-03						
1.80E-03	0.067345287	7.53E-04	-1.06E-02						
1.90E-03	0.067367595	-3.45E-05	-1.30E-02						
2.00E-03	0.067081177	-7.10E-04	-1.57E-02						
2.10E-03	0.066781113	-5.43E-04	-1.92E-02						
2.20E-03	0.066702902	2.69E-04	-2.42E-02						
2.30E-03	0.066732481	6.25E-04	-3.14E-02						
2.40E-03	0.066608136	2.12E-04	-4.15E-02						
2.50E-03	0.066340325	-2.98E-04	-5.71E-02						
2.60E-03	0.06623633	-1.40E-04	-8.29E-02						
2.70E-03	0.066512775	5.70E-04	-1.23E-01						
2.80E-03	0.067013258	1.01E-03	-1.75E-01						
2.90E-03	0.067420469	5.35E-04	-2.23E-01						
3.00E-03	0.067607371	-4.75E-04	-2.36E-01						
3.10E-03	0.067666331	-7.82E-04	-1.82E-01						
3.20E-03	0.067667056	-5.16E-04	-6.80E-02						
3.30E-03	0.067564943	-2.10E-04	5.43E-02						
3.40E-03	0.067381309	-5.58E-06	1.37E-01						
3.50E-03	0.067313074	3.55E-04	1.76E-01						
3.60E-03	0.067538092	8.36E-04	1.98E-01						
3.70E-03	0.067966846	9.78E-04	2.04E-01						
3.80E-03	0.068353626	5.11E-04	1.67E-01						
3.90E-03	0.068620401	-3.11E-04	8.15E-02						
4.00E-03	0.068927363	-2.64E-04	-3.48E-02						
4.10E-03	0.069373995	1.73E-04	-1.59E-01						
4.20E-03	0.069747003	2.05E-04	-2.28E-01						
4.30E-03	0.069693125	-5.70E-04	-1.53E-01						
4.40E-03	0.069106958	-1.24E-03	6.43E-02						
4.50E-03	0.068235377	-1.42E-03	2.98E-01						
4.60E-03	0.067395545	-6.62E-04	4.00E-01						
4.70E-03	0.066760214	6.05E-04	3.32E-01						
4.80E-03	0.066436077	1.30E-03	1.74E-01						
4.90E-03	0.066611665	1.63E-03	1.31E-02						
5.00E-03	0.067406368	1.74E-03	-1.04E-01						
5.10E-03	0.068597161	1.36E-03	-1.32E-01						
5.20E-03	0.069665059	-1.02E-05	-2.33E-02						
5.30E-03	0.07019526	-1.92E-03	2.10E-01						
5.40E-03	0.070210522	-2.27E-03	4.49E-01						
5.50E-03	0.070019424	-9.46E-04	5.37E-01						
5.60E-03	0.06983543	4.48E-04	4.35E-01						
5.70E-03	0.069670988	1.09E-03	2.22E-01						
5.80E-03	0.069542636	9.54E-04	1.75E-02						
5.90E-03	0.069574849	7.65E-04	-8.90E-02						
6.00E-03	0.069832944	6.00E-04	-1.01E-01						
6.10E-03	0.070161291	2.69E-04	-8.80E-02						
6.20E-03	0.070371182	-4.45E-04	-1.13E-01						
6.30E-03	0.070490313	-8.12E-04	-1.95E-01						
6.40E-03	0.070655857	-4.18E-04	-2.91E-01						
6.50E-03	0.070744437	-3.30E-04	-3.30E-01						
6.60E-03	0.070348234	-1.00E-03	-2.89E-01						
6.70E-03	0.069281462	-1.99E-03	-1.99E-01						
6.80E-03	0.068068824	-1.97E-03	-1.02E-01						
6.90E-03	0.067544354	3.18E-04	-1.80E-02						
7.00E-03	0.068057753	1.98E-03	6.43E-02						
7.10E-03	0.069056228	1.19E-03	1.64E-01						
7.20E-03	0.069672672	-1.79E-03	2.41E-01						
7.30E-03	0.069548647	-5.38E-03	1.98E-01						
7.40E-03	0.069124125	-6.52E-03	6.97E-03						
7.50E-03	0.069063274	-5.56E-03	-2.11E-01						
7.60E-03	0.069592804	-4.59E-03	-2.70E-01						
7.70E-03	0.070437165	-5.28E-03	-1.34E-01						
7.80E-03	0.071241471	-8.25E-03	6.85E-02						
7.90E-03	0.071843004	-1.29E-02	1.75E-01						
8.00E-03	0.072189674	-1.77E-02	1.40E-01						
8.10E-03	0.072214918	-2.24E-02	4.48E-02						
8.20E-03	0.071924646	-2.82E-02	5.61E-04						
8.30E-03	0.071398303	-3.59E-02	7.20E-02						
8.40E-03	0.070721688	-4.61E-02	2.42E-01						
8.50E-03	0.069912376	-6.03E-02	4.24E-01						
8.60E-03	0.068996183	-8.01E-02	4.94E-01						
8.70E-03	0.068168984	-1.05E-01	3.76E-01						
8.80E-03	0.067774608	-1.30E-01	1.20E-01						
8.90E-03	0.067976197	-1.53E-01	-1.57E-01						
9.00E-03	0.068597094	-1.67E-01	-3.53E-01						
9.10E-03	0.069323071	-1.68E-01	-4.34E-01						
9.20E-03	0.069922879	-1.51E-01	-4.22E-01						
9.30E-03	0.070337523	-1.13E-01	-3.42E-01						
9.40E-03	0.070491358	-5.76E-02	-2.18E-01						
9.50E-03	0.070255782	4.00E-03	-7.27E-02						
9.60E-03	0.069626723	6.33E-02	4.78E-02						
9.70E-03	0.068841723	1.16E-01	9.49E-02						
9.80E-03	0.068244791	1.66E-01	6.16E-02						
9.90E-03	0.067937141	2.12E-01	-3.49E-03						
1.00E-02	0.06772888	2.42E-01	-3.50E-02						
1.01E-02	0.06739975	2.41E-01	-1.14E-02						
1.02E-02	0.066992566	1.97E-01	1.89E-02						
1.03E-02	0.066768079	1.22E-01	-1.91E-03						
1.04E-02	0.066863912	4.12E-02	-8.92E-02						
1.05E-02	0.067174061	-1.86E-02	-1.89E-01						
1.06E-02	0.067529556	-2.88E-02	-2.12E-01						
1.07E-02	0.067957986	1.09E-02	-9.91E-02						
1.08E-02	0.068589485	6.45E-02	8.56E-02						
1.09E-02	0.069404001	9.53E-02	2.07E-01						
1.10E-02	0.070134017	9.11E-02	2.14E-01						
1.11E-02	0.070535123	6.74E-02	1.79E-01						
1.12E-02	0.070688043	4.50E-02	1.74E-01						
1.13E-02	0.070969689	4.51E-02	1.78E-01						
1.14E-02	0.071636386	7.25E-02	1.30E-01						
1.15E-02	0.072564546	1.16E-01	1.32E-02						
1.16E-02	0.073254016	1.48E-01	-1.33E-01						
1.17E-02	0.073252489	1.43E-01	-2.42E-01						
1.18E-02	0.072541657	9.21E-02	-2.46E-01						
1.19E-02	0.071521527	4.27E-03	-1.28E-01						
1.20E-02	0.070706619	-9.53E-02	7.38E-02						
1.21E-02	0.070451279	-1.82E-01	2.81E-01						
1.22E-02	0.070808647	-2.38E-01	3.90E-01						
1.23E-02	0.07140783	-2.59E-01	3.18E-01						
