t	u	v	z						
0.00E+00	0.062592249	0.00E+00	0.00E+00						
1.00E-04	6.32E-02	6.44E-04	-1.21E-03						
2.00E-04	0.063283599	9.13E-05	-9.75E-04						
3.00E-04	0.063550611	2.11E-04	-8.03E-04						
3.50E-04	0.063761581	3.41E-04	-1.49E-03						
4.00E-04	0.063958403	3.70E-04	-1.39E-03						
5.00E-04	0.064294827	1.96E-04	-1.94E-03						
6.00E-04	0.064496417	-1.37E-04	-7.44E-04						
7.00E-04	0.06473941	2.12E-04	-5.32E-04						
8.00E-04	0.065131291	6.66E-04	-2.36E-03						
9.00E-04	0.065566784	7.08E-04	-3.79E-03						
1.00E-03	0.06590851	3.54E-04	-3.93E-03						
1.10E-03	0.066191188	1.24E-04	-3.75E-03						
1.20E-03	0.066528234	2.11E-04	-4.06E-03						
1.30E-03	0.066882348	3.07E-04	-4.76E-03						
1.40E-03	0.067094788	7.33E-05	-5.34E-03						
1.50E-03	0.067149037	-1.51E-04	-5.78E-03						
1.60E-03	0.067246959	6.76E-05	-6.67E-03						
1.70E-03	0.067534382	6.55E-04	-8.37E-03						
1.80E-03	0.067843731	7.53E-04	-1.06E-02						
1.90E-03	0.067873114	-3.45E-05	-1.30E-02						
2.00E-03	0.067588141	-7.10E-04	-1.57E-02						
2.10E-03	0.067282357	-5.43E-04	-1.92E-02						
2.20E-03	0.067200366	2.69E-04	-2.42E-02						
2.30E-03	0.067230385	6.25E-04	-3.14E-02						
2.40E-03	0.06710943	2.12E-04	-4.15E-02						
2.50E-03	0.06684133	-2.98E-04	-5.71E-02						
2.60E-03	0.066732019	-1.40E-04	-8.29E-02						
2.70E-03	0.067004732	5.70E-04	-1.23E-01						
2.80E-03	0.067509352	1.01E-03	-1.75E-01						
2.90E-03	0.067925677	5.35E-04	-2.23E-01						
3.00E-03	0.068117877	-4.75E-04	-2.36E-01						
3.10E-03	0.068178028	-7.82E-04	-1.82E-01						
3.20E-03	0.068177928	-5.16E-04	-6.80E-02						
3.30E-03	0.068073634	-2.10E-04	5.43E-02						
3.40E-03	0.06788616	-5.58E-06	1.37E-01						
3.50E-03	0.067813767	3.55E-04	1.76E-01						
3.60E-03	0.068037351	8.36E-04	1.98E-01						
3.70E-03	0.068470916	9.78E-04	2.04E-01						
3.80E-03	0.068865659	5.11E-04	1.67E-01						
3.90E-03	0.069135387	-3.11E-04	8.15E-02						
4.00E-03	0.069440862	-2.64E-04	-3.48E-02						
4.10E-03	0.06988604	1.73E-04	-1.59E-01						
4.20E-03	0.070259622	2.05E-04	-2.28E-01						
4.30E-03	0.070206715	-5.70E-04	-1.53E-01						
4.40E-03	0.069612415	-1.24E-03	6.43E-02						
4.50E-03	0.068717665	-1.42E-03	2.98E-01						
4.60E-03	0.067844883	-6.62E-04	4.00E-01						
4.70E-03	0.067173912	6.05E-04	3.32E-01						
4.80E-03	0.066809166	1.30E-03	1.74E-01						
4.90E-03	0.066926832	1.63E-03	1.31E-02						
5.00E-03	0.067667492	1.74E-03	-1.04E-01						
5.10E-03	0.068805544	1.36E-03	-1.32E-01						
5.20E-03	0.069828756	-1.02E-05	-2.33E-02						
5.30E-03	0.070343128	-1.92E-03	2.10E-01						
5.40E-03	0.070361367	-2.27E-03	4.49E-01						
5.50E-03	0.070155001	-9.46E-04	5.37E-01						
5.60E-03	0.069913623	4.48E-04	4.35E-01						
5.70E-03	0.069626354	1.09E-03	2.22E-01						
5.80E-03	0.06931656	9.54E-04	1.75E-02						
5.90E-03	0.069134802	7.65E-04	-8.90E-02						
6.00E-03	0.069153481	6.00E-04	-1.01E-01						
6.10E-03	0.069221551	2.69E-04	-8.80E-02						
6.20E-03	0.069195111	-4.45E-04	-1.13E-01						
6.30E-03	0.069180555	-8.12E-04	-1.95E-01						
6.40E-03	0.069394297	-4.18E-04	-2.91E-01						
6.50E-03	0.069776248	-3.30E-04	-3.30E-01						
6.60E-03	0.069934547	-1.00E-03	-2.89E-01						
6.70E-03	0.069628191	-1.99E-03	-1.99E-01						
6.80E-03	0.069218303	-1.97E-03	-1.02E-01						
6.90E-03	0.069393771	3.18E-04	-1.80E-02						
7.00E-03	0.070461117	1.98E-03	6.43E-02						
7.10E-03	0.071844375	1.19E-03	1.64E-01						
7.20E-03	0.072513813	-1.79E-03	2.41E-01						
7.30E-03	0.072018477	-5.38E-03	1.98E-01						
7.40E-03	0.070836355	-6.52E-03	6.97E-03						
7.50E-03	0.06977945	-5.56E-03	-2.11E-01						
7.60E-03	0.069261131	-4.59E-03	-2.70E-01						
7.70E-03	0.069183926	-5.28E-03	-1.34E-01						
7.80E-03	0.069277842	-8.25E-03	6.85E-02						
7.90E-03	0.069452801	-1.29E-02	1.75E-01						
8.00E-03	0.069748062	-1.77E-02	1.40E-01						
8.10E-03	0.070094578	-2.24E-02	4.48E-02						
8.20E-03	0.070292721	-2.82E-02	5.61E-04						
8.30E-03	0.070163238	-3.59E-02	7.20E-02						
8.40E-03	0.069633421	-4.61E-02	2.42E-01						
8.50E-03	0.068725739	-6.03E-02	4.24E-01						
