t	u	v	z						
0.00E+00	0.062708708	0.00E+00	0.00E+00						
1.00E-04	0.063277252	6.44E-04	-1.21E-03						
2.00E-04	0.063399567	9.13E-05	-9.75E-04						
3.00E-04	0.063669584	2.11E-04	-8.03E-04						
3.50E-04	0.063881505	3.41E-04	-1.49E-03						
4.00E-04	0.064076335	3.70E-04	-1.39E-03						
5.00E-04	0.06441284	1.96E-04	-1.94E-03						
6.00E-04	0.064612878	-1.37E-04	-7.44E-04						
7.00E-04	0.064856796	2.12E-04	-5.32E-04						
8.00E-04	0.065252159	6.66E-04	-2.36E-03						
9.00E-04	0.065692003	7.08E-04	-3.79E-03						
1.00E-03	0.066037673	3.54E-04	-3.93E-03						
1.10E-03	0.066323686	1.24E-04	-3.75E-03						
1.20E-03	0.066661258	2.11E-04	-4.06E-03						
1.30E-03	0.067012346	3.07E-04	-4.76E-03						
1.40E-03	0.067220664	7.33E-05	-5.34E-03						
1.50E-03	0.067274164	-1.51E-04	-5.78E-03						
1.60E-03	0.06737414	6.76E-05	-6.67E-03						
1.70E-03	0.067661766	6.55E-04	-8.37E-03						
1.80E-03	0.067969437	7.53E-04	-1.06E-02						
1.90E-03	0.067997734	-3.45E-05	-1.30E-02						
2.00E-03	0.06771339	-7.10E-04	-1.57E-02						
2.10E-03	0.067410204	-5.43E-04	-1.92E-02						
2.20E-03	0.067329024	2.69E-04	-2.42E-02						
2.30E-03	0.067356463	6.25E-04	-3.14E-02						
2.40E-03	0.067232874	2.12E-04	-4.15E-02						
2.50E-03	0.066965503	-2.98E-04	-5.71E-02						
2.60E-03	0.066858224	-1.40E-04	-8.29E-02						
2.70E-03	0.06713044	5.70E-04	-1.23E-01						
2.80E-03	0.067630324	1.01E-03	-1.75E-01						
2.90E-03	0.068041742	5.35E-04	-2.23E-01						
3.00E-03	0.068231714	-4.75E-04	-2.36E-01						
3.10E-03	0.068291159	-7.82E-04	-1.82E-01						
3.20E-03	0.068289982	-5.16E-04	-6.80E-02						
3.30E-03	0.068180486	-2.10E-04	5.43E-02						
3.40E-03	0.067986074	-5.58E-06	1.37E-01						
3.50E-03	0.067904875	3.55E-04	1.76E-01						
3.60E-03	0.068107917	8.36E-04	1.98E-01						
3.70E-03	0.068507302	9.78E-04	2.04E-01						
3.80E-03	0.068854454	5.11E-04	1.67E-01						
3.90E-03	0.069067312	-3.11E-04	8.15E-02						
