t	u	v	z						
1.08E-02	0.064417195	6.45E-02	8.56E-02						
1.09E-02	0.064765938	9.53E-02	2.07E-01						
1.10E-02	0.065018559	9.11E-02	2.14E-01						
1.11E-02	0.065028641	6.74E-02	1.79E-01						
1.12E-02	0.064838411	4.50E-02	1.74E-01						
1.13E-02	0.064669913	4.51E-02	1.78E-01						
1.14E-02	0.064749102	7.25E-02	1.30E-01						
1.15E-02	0.06514901	1.16E-01	1.32E-02						
1.16E-02	0.06574773	1.48E-01	-1.33E-01						
1.17E-02	0.066297519	1.43E-01	-2.42E-01						
1.18E-02	0.066574033	9.21E-02	-2.46E-01						
1.19E-02	0.066530517	4.27E-03	-1.28E-01						
1.20E-02	0.066394034	-9.53E-02	7.38E-02						
1.21E-02	0.066523577	-1.82E-01	2.81E-01						
1.22E-02	0.066985569	-2.38E-01	3.90E-01						
1.23E-02	0.067440258	-2.59E-01	3.18E-01						
1.24E-02	0.067417024	-2.45E-01	8.60E-02						
1.25E-02	0.066857795	-2.10E-01	-1.98E-01						
1.26E-02	0.066301126	-1.68E-01	-3.76E-01						
1.27E-02	0.066365169	-1.31E-01	-3.66E-01						
1.28E-02	0.067207598	-1.13E-01	-1.90E-01						
1.29E-02	0.068366898	-1.06E-01	4.44E-02						
1.30E-02	0.069175119	-9.25E-02	1.94E-01						
1.31E-02	0.069343208	-6.70E-02	1.83E-01						
1.32E-02	0.068995331	-3.30E-02	5.81E-02						
1.33E-02	0.068344783	1.07E-04	-5.97E-02						
1.34E-02	0.067565308	2.30E-02	-5.28E-02						
1.35E-02	0.066854796	3.88E-02	9.33E-02						
1.36E-02	0.066506911	5.83E-02	2.88E-01						
1.37E-02	0.066776207	8.94E-02	4.00E-01						
1.38E-02	0.067595156	1.30E-01	3.57E-01						
1.39E-02	0.068459801	1.73E-01	1.91E-01						
1.40E-02	0.068820332	2.04E-01	-5.22E-03						
1.41E-02	0.068527743	2.08E-01	-1.59E-01						
1.42E-02	0.067905008	1.83E-01	-2.23E-01						
1.43E-02	0.067378187	1.32E-01	-1.94E-01						
1.44E-02	0.067049752	6.84E-02	-8.76E-02						
1.45E-02	0.066697081	1.64E-02	5.41E-02						
1.46E-02	0.066098602	-1.03E-02	1.54E-01						
1.47E-02	0.065317889	-2.33E-02	1.34E-01						
1.48E-02	0.064706532	-4.34E-02	-2.99E-02						
1.49E-02	0.064586627	-8.73E-02	-2.53E-01						
1.50E-02	0.064956399	-1.49E-01	-3.98E-01						
1.51E-02	0.065488833	-2.00E-01	-3.83E-01						
1.52E-02	0.065787289	-2.09E-01	-2.32E-01						
1.53E-02	0.065652529	-1.62E-01	-3.72E-03						
1.54E-02	0.065296057	-7.24E-02	2.33E-01						
1.55E-02	0.065183974	2.83E-02	3.88E-01						
1.56E-02	0.065616763	1.16E-01	3.93E-01						
1.57E-02	0.066416529	1.75E-01	2.63E-01						
1.58E-02	0.067171017	2.07E-01	8.52E-02						
1.59E-02	0.067706141	2.19E-01	-4.39E-02						
1.60E-02	0.068342751	2.09E-01	-1.01E-01						
1.61E-02	0.069520086	1.75E-01	-1.10E-01						
1.62E-02	0.071215102	1.16E-01	-8.39E-02						
1.63E-02	0.072777465	4.10E-02	1.88E-04						
1.64E-02	0.073408115	-2.67E-02	1.35E-01						
1.65E-02	0.072874237	-6.99E-02	2.63E-01						
1.66E-02	0.07152233	-8.58E-02	3.35E-01						
1.67E-02	0.06975479	-7.82E-02	3.49E-01						
1.68E-02	0.067809152	-5.33E-02	3.17E-01						
1.69E-02	0.065936735	-1.89E-02	2.48E-01						
1.70E-02	0.064576346	1.65E-02	1.43E-01						
1.71E-02	0.064128339	4.16E-02	1.29E-02						
1.72E-02	0.064557509	4.38E-02	-1.02E-01						
1.73E-02	0.065443175	2.00E-02	-1.28E-01						
1.74E-02	0.066447683	-1.95E-02	-3.26E-02						
1.75E-02	0.067499292	-5.48E-02	1.08E-01						
1.76E-02	0.068601817	-6.85E-02	1.60E-01						
1.77E-02	0.069458594	-4.99E-02	8.32E-02						
1.78E-02	0.069635274	-5.74E-04	-2.80E-02						
1.79E-02	0.069004792	7.52E-02	-5.12E-02						
1.80E-02	0.068010738	1.64E-01	4.77E-02						
1.81E-02	0.067284456	2.38E-01	1.98E-01						
1.82E-02	0.067068885	2.74E-01	3.05E-01						
1.83E-02	0.067134478	2.59E-01	3.20E-01						
1.84E-02	0.067133469	1.93E-01	2.71E-01						
1.85E-02	0.06694944	9.06E-02	2.07E-01						
1.86E-02	0.066636307	-3.04E-02	9.54E-02						
1.87E-02	0.066252723	-1.34E-01	-1.13E-01						
1.88E-02	0.06589944	-1.76E-01	-3.57E-01						
1.89E-02	0.065737754	-1.39E-01	-4.75E-01						
1.90E-02	0.065854834	-3.86E-02	-3.94E-01						
1.91E-02	0.066079165	8.91E-02	-1.77E-01						
1.92E-02	0.066082413	1.97E-01	5.37E-02						
1.93E-02	0.065802769	2.49E-01	1.79E-01						
1.94E-02	0.065640466	2.47E-01	1.72E-01						
1.95E-02	0.066058321	2.20E-01	7.94E-02						
1.96E-02	0.06706219	1.99E-01	-2.56E-02						
1.97E-02	0.068124397	1.98E-01	-1.03E-01						
1.98E-02	0.06869573	2.16E-01	-1.28E-01						
1.99E-02	0.068673244	2.35E-01	-6.90E-02						
2.00E-02	0.068358641	2.37E-01	7.05E-02						
2.01E-02	0.067948325	2.11E-01	1.99E-01						
2.02E-02	0.067411685	1.55E-01	2.54E-01						
2.03E-02	0.066768203	8.03E-02	2.58E-01						
2.04E-02	0.066320998	6.25E-03	2.42E-01						
2.05E-02	0.066417479	-4.79E-02	1.87E-01						
2.06E-02	0.067079233	-7.26E-02	8.55E-02						
2.07E-02	0.067890558	-7.23E-02	3.52E-03						
2.08E-02	0.068363152	-5.83E-02	2.72E-02						
2.09E-02	0.068336428	-4.36E-02	1.68E-01						
2.10E-02	0.067785073	-3.49E-02	3.53E-01						
2.11E-02	0.066719445	-2.56E-02	4.50E-01						
2.12E-02	0.065320943	-9.01E-03	3.82E-01						
2.13E-02	0.064008611	2.10E-02	1.83E-01						
2.14E-02	0.063267145	7.07E-02	-5.81E-02						
2.15E-02	0.063313622	1.40E-01	-2.55E-01						
2.16E-02	0.063979451	2.15E-01	-3.52E-01						
2.17E-02	0.064871909	2.60E-01	-3.38E-01						
2.18E-02	0.065711217	2.47E-01	-2.45E-01						
2.19E-02	0.066369093	1.72E-01	-1.41E-01						
2.20E-02	0.066711737	5.65E-02	-9.10E-02						
2.21E-02	0.066575364	-5.47E-02	-1.18E-01						
