t	u	v	z						
0.00E+00	0.062359332	0.00E+00	0.00E+00						
1.00E-04	6.29E-02	6.44E-04	-1.21E-03						
2.00E-04	0.06304811	9.13E-05	-9.75E-04						
3.00E-04	0.063314127	2.11E-04	-8.03E-04						
3.50E-04	0.063524312	3.41E-04	-1.49E-03						
4.00E-04	0.063720402	3.70E-04	-1.39E-03						
5.00E-04	0.064055574	1.96E-04	-1.94E-03						
6.00E-04	0.064256414	-1.37E-04	-7.44E-04						
7.00E-04	0.064498503	2.12E-04	-5.32E-04						
8.00E-04	0.064888925	6.66E-04	-2.36E-03						
9.00E-04	0.065322798	7.08E-04	-3.79E-03						
1.00E-03	0.065663253	3.54E-04	-3.93E-03						
1.10E-03	0.065944879	1.24E-04	-3.75E-03						
1.20E-03	0.066280671	2.11E-04	-4.06E-03						
1.30E-03	0.066633467	3.07E-04	-4.76E-03						
1.40E-03	0.066845116	7.33E-05	-5.34E-03						
1.50E-03	0.066899164	-1.51E-04	-5.78E-03						
1.60E-03	0.066996721	6.76E-05	-6.67E-03						
1.70E-03	0.067283074	6.55E-04	-8.37E-03						
1.80E-03	0.067591272	7.53E-04	-1.06E-02						
1.90E-03	0.067620546	-3.45E-05	-1.30E-02						
2.00E-03	0.067336634	-7.10E-04	-1.57E-02						
2.10E-03	0.067031987	-5.43E-04	-1.92E-02						
2.20E-03	0.066950301	2.69E-04	-2.42E-02						
2.30E-03	0.066980208	6.25E-04	-3.14E-02						
2.40E-03	0.066859704	2.12E-04	-4.15E-02						
2.50E-03	0.066592601	-2.98E-04	-5.71E-02						
2.60E-03	0.066483697	-1.40E-04	-8.29E-02						
2.70E-03	0.066755395	5.70E-04	-1.23E-01						
2.80E-03	0.067258138	1.01E-03	-1.75E-01						
2.90E-03	0.067672913	5.35E-04	-2.23E-01						
3.00E-03	0.067864398	-4.75E-04	-2.36E-01						
3.10E-03	0.067924325	-7.82E-04	-1.82E-01						
3.20E-03	0.067924226	-5.16E-04	-6.80E-02						
3.30E-03	0.067820319	-2.10E-04	5.43E-02						
3.40E-03	0.067633543	-5.58E-06	1.37E-01						
3.50E-03	0.067561419	3.55E-04	1.76E-01						
3.60E-03	0.067784172	8.36E-04	1.98E-01						
3.70E-03	0.068216124	9.78E-04	2.04E-01						
3.80E-03	0.068609397	5.11E-04	1.67E-01						
3.90E-03	0.068878122	-3.11E-04	8.15E-02						
4.00E-03	0.069182461	-2.64E-04	-3.48E-02						
4.10E-03	0.069625981	1.73E-04	-1.59E-01						
4.20E-03	0.069998174	2.05E-04	-2.28E-01						
4.30E-03	0.069945464	-5.70E-04	-1.53E-01						
4.40E-03	0.069353375	-1.24E-03	6.43E-02						
4.50E-03	0.068461955	-1.42E-03	2.98E-01						
4.60E-03	0.06759242	-6.62E-04	4.00E-01						
4.70E-03	0.066923946	6.05E-04	3.32E-01						
4.80E-03	0.066560557	1.30E-03	1.74E-01						
4.90E-03	0.066677785	1.63E-03	1.31E-02						
5.00E-03	0.06741569	1.74E-03	-1.04E-01						
5.10E-03	0.068549506	1.36E-03	-1.32E-01						
5.20E-03	0.06956891	-1.02E-05	-2.33E-02						
5.30E-03	0.070081369	-1.92E-03	2.10E-01						
5.40E-03	0.07009954	-2.27E-03	4.49E-01						
5.50E-03	0.069893942	-9.46E-04	5.37E-01						
5.60E-03	0.069653462	4.48E-04	4.35E-01						
5.70E-03	0.069367262	1.09E-03	2.22E-01						
5.80E-03	0.069058621	9.54E-04	1.75E-02						
5.90E-03	0.068877539	7.65E-04	-8.90E-02						
6.00E-03	0.068896148	6.00E-04	-1.01E-01						
6.10E-03	0.068963965	2.69E-04	-8.80E-02						
6.20E-03	0.068937624	-4.45E-04	-1.13E-01						
6.30E-03	0.068923122	-8.12E-04	-1.95E-01						
6.40E-03	0.069136068	-4.18E-04	-2.91E-01						
6.50E-03	0.069516598	-3.30E-04	-3.30E-01						
6.60E-03	0.069674308	-1.00E-03	-2.89E-01						
6.70E-03	0.069369092	-1.99E-03	-1.99E-01						
6.80E-03	0.06896073	-1.97E-03	-1.02E-01						
6.90E-03	0.069135544	3.18E-04	-1.80E-02						
7.00E-03	0.070198918	1.98E-03	6.43E-02						
7.10E-03	0.07157703	1.19E-03	1.64E-01						
7.20E-03	0.072243976	-1.79E-03	2.41E-01						
7.30E-03	0.071750484	-5.38E-03	1.98E-01						
7.40E-03	0.07057276	-6.52E-03	6.97E-03						
7.50E-03	0.069519789	-5.56E-03	-2.11E-01						
7.60E-03	0.069003398	-4.59E-03	-2.70E-01						
7.70E-03	0.06892648	-5.28E-03	-1.34E-01						
7.80E-03	0.069020046	-8.25E-03	6.85E-02						
7.90E-03	0.069194355	-1.29E-02	1.75E-01						
8.00E-03	0.069488517	-1.77E-02	1.40E-01						
8.10E-03	0.069833744	-2.24E-02	4.48E-02						
