t	u	v	z						
0.00E+00	0.044890558	0.00E+00	0.00E+00						
1.00E-04	4.53E-02	6.44E-04	-1.21E-03						
2.00E-04	0.045388122	9.13E-05	-9.75E-04						
3.00E-04	0.045580309	2.11E-04	-8.03E-04						
3.50E-04	0.045735512	3.41E-04	-1.49E-03						
4.00E-04	0.045876518	3.70E-04	-1.39E-03						
5.00E-04	0.046117825	1.96E-04	-1.94E-03						
6.00E-04	0.046262286	-1.37E-04	-7.44E-04						
7.00E-04	0.046434327	2.12E-04	-5.32E-04						
8.00E-04	0.046715682	6.66E-04	-2.36E-03						
9.00E-04	0.047030987	7.08E-04	-3.79E-03						
1.00E-03	0.047277768	3.54E-04	-3.93E-03						
1.10E-03	0.047481058	1.24E-04	-3.75E-03						
1.20E-03	0.047722986	2.11E-04	-4.06E-03						
1.30E-03	0.047978258	3.07E-04	-4.76E-03						
1.40E-03	0.048130484	7.33E-05	-5.34E-03						
1.50E-03	0.048167156	-1.51E-04	-5.78E-03						
1.60E-03	0.048235471	6.76E-05	-6.67E-03						
1.70E-03	0.048442044	6.55E-04	-8.37E-03						
1.80E-03	0.048664912	7.53E-04	-1.06E-02						
1.90E-03	0.048684232	-3.45E-05	-1.30E-02						
2.00E-03	0.048476719	-7.10E-04	-1.57E-02						
2.10E-03	0.048255914	-5.43E-04	-1.92E-02						
2.20E-03	0.048196291	2.69E-04	-2.42E-02						
2.30E-03	0.048217677	6.25E-04	-3.14E-02						
2.40E-03	0.048130106	2.12E-04	-4.15E-02						
2.50E-03	0.047935495	-2.98E-04	-5.71E-02						
2.60E-03	0.047856383	-1.40E-04	-8.29E-02						
2.70E-03	0.04805426	5.70E-04	-1.23E-01						
2.80E-03	0.048418544	1.01E-03	-1.75E-01						
2.90E-03	0.048718247	5.35E-04	-2.23E-01						
3.00E-03	0.048856514	-4.75E-04	-2.36E-01						
3.10E-03	0.04889964	-7.82E-04	-1.82E-01						
3.20E-03	0.048900551	-5.16E-04	-6.80E-02						
3.30E-03	0.048827027	-2.10E-04	5.43E-02						
3.40E-03	0.048691926	-5.58E-06	1.37E-01						
3.50E-03	0.048636893	3.55E-04	1.76E-01						
3.60E-03	0.048795261	8.36E-04	1.98E-01						
3.70E-03	0.049105614	9.78E-04	2.04E-01						
3.80E-03	0.049390649	5.11E-04	1.67E-01						
3.90E-03	0.049587488	-3.11E-04	8.15E-02						
4.00E-03	0.049809878	-2.64E-04	-3.48E-02						
4.10E-03	0.050134145	1.73E-04	-1.59E-01						
4.20E-03	0.050407328	2.05E-04	-2.28E-01						
4.30E-03	0.050370542	-5.70E-04	-1.53E-01						
4.40E-03	0.04994536	-1.24E-03	6.43E-02						
4.50E-03	0.049309679	-1.42E-03	2.98E-01						
4.60E-03	0.048694391	-6.62E-04	4.00E-01						
4.70E-03	0.048228191	6.05E-04	3.32E-01						
4.80E-03	0.047989699	1.30E-03	1.74E-01						
4.90E-03	0.048110588	1.63E-03	1.31E-02						
5.00E-03	0.048684294	1.74E-03	-1.04E-01						
5.10E-03	0.049556672	1.36E-03	-1.32E-01						
5.20E-03	0.050349592	-1.02E-05	-2.33E-02						
5.30E-03	0.050748938	-1.92E-03	2.10E-01						
5.40E-03	0.050767975	-2.27E-03	4.49E-01						
5.50E-03	0.050634093	-9.46E-04	5.37E-01						
5.60E-03	0.050507251	4.48E-04	4.35E-01						
5.70E-03	0.05039994	1.09E-03	2.22E-01						
5.80E-03	0.050325799	9.54E-04	1.75E-02						
5.90E-03	0.050377946	7.65E-04	-8.90E-02						
6.00E-03	0.050607219	6.00E-04	-1.01E-01						
6.10E-03	0.050900891	2.69E-04	-8.80E-02						
6.20E-03	0.051110453	-4.45E-04	-1.13E-01						
6.30E-03	0.051242429	-8.12E-04	-1.95E-01						
6.40E-03	0.051387225	-4.18E-04	-2.91E-01						
6.50E-03	0.051466845	-3.30E-04	-3.30E-01						
6.60E-03	0.051206068	-1.00E-03	-2.89E-01						
6.70E-03	0.050482583	-1.99E-03	-1.99E-01						
6.80E-03	0.049645036	-1.97E-03	-1.02E-01						
6.90E-03	0.049293745	3.18E-04	-1.80E-02						
7.00E-03	0.049708189	1.98E-03	6.43E-02						
7.10E-03	0.05052511	1.19E-03	1.64E-01						
7.20E-03	0.051077313	-1.79E-03	2.41E-01						
7.30E-03	0.05106393	-5.38E-03	1.98E-01						
7.40E-03	0.050762409	-6.52E-03	6.97E-03						
7.50E-03	0.050600046	-5.56E-03	-2.11E-01						
7.60E-03	0.050730271	-4.59E-03	-2.70E-01						
7.70E-03	0.050976356	-5.28E-03	-1.34E-01						
7.80E-03	0.051110918	-8.25E-03	6.85E-02						
7.90E-03	0.05105865	-1.29E-02	1.75E-01						
8.00E-03	0.050862946	-1.77E-02	1.40E-01						
8.10E-03	0.050591276	-2.24E-02	4.48E-02						
8.20E-03	0.050332552	-2.82E-02	5.61E-04						
8.30E-03	0.050203462	-3.59E-02	7.20E-02						
8.40E-03	0.05027802	-4.61E-02	2.42E-01						
8.50E-03	0.05049243	-6.03E-02	4.24E-01						
8.60E-03	0.050715112	-8.01E-02	4.94E-01						
8.70E-03	0.050927176	-1.05E-01	3.76E-01						
8.80E-03	0.051220398	-1.30E-01	1.20E-01						
8.90E-03	0.051627503	-1.53E-01	-1.57E-01						
9.00E-03	0.051971936	-1.67E-01	-3.53E-01						
9.10E-03	0.051998976	-1.68E-01	-4.34E-01						
9.20E-03	0.051647461	-1.51E-01	-4.22E-01						
9.30E-03	0.051091543	-1.13E-01	-3.42E-01						
9.40E-03	0.050593813	-5.76E-02	-2.18E-01						
9.50E-03	0.050282757	4.00E-03	-7.27E-02						
9.60E-03	0.050169535	6.33E-02	4.78E-02						
9.70E-03	0.050248736	1.16E-01	9.49E-02						
9.80E-03	0.050508858	1.66E-01	6.16E-02						
9.90E-03	0.050812442	2.12E-01	-3.49E-03						
1.00E-02	0.050882715	2.42E-01	-3.50E-02						
1.01E-02	0.050559945	2.41E-01	-1.14E-02						
1.02E-02	0.049989121	1.97E-01	1.89E-02						
1.03E-02	0.04948375	1.22E-01	-1.91E-03						
1.04E-02	0.049236126	4.12E-02	-8.92E-02						
1.05E-02	0.049209766	-1.86E-02	-1.89E-01						
1.06E-02	0.049280847	-2.88E-02	-2.12E-01						
1.07E-02	0.049405984	1.09E-02	-9.91E-02						
1.08E-02	0.049614977	6.45E-02	8.56E-02						
1.09E-02	0.049883583	9.53E-02	2.07E-01						
1.10E-02	0.050078155	9.11E-02	2.14E-01						
1.11E-02	0.050085921	6.74E-02	1.79E-01						
1.12E-02	0.049939404	4.50E-02	1.74E-01						
1.13E-02	0.049809624	4.51E-02	1.78E-01						
1.14E-02	0.049870617	7.25E-02	1.30E-01						
1.15E-02	0.050178631	1.16E-01	1.32E-02						
1.16E-02	0.050639773	1.48E-01	-1.33E-01						
1.17E-02	0.051063228	1.43E-01	-2.42E-01						
1.18E-02	0.051276202	9.21E-02	-2.46E-01						
1.19E-02	0.051242686	4.27E-03	-1.28E-01						
1.20E-02	0.051137564	-9.53E-02	7.38E-02						
